,DateTime,Acorn_grouped,stdorToU,N,nrg_cons
83,2013-12-01 14:00:00,Comfortable,ToU,299,0.447133344724
84,2013-12-01 15:00:00,Adversity,Std,1404,0.494993009534
85,2013-12-01 15:00:00,Adversity,ToU,280,0.532971390979
86,2013-12-01 15:00:00,Affluent,Std,1526,0.731427843144
87,2013-12-01 15:00:00,Affluent,ToU,457,0.630313193887
88,2013-12-01 15:00:00,Comfortable,Std,1113,0.591572103245
89,2013-12-01 15:00:00,Comfortable,ToU,299,0.465032769558
90,2013-12-01 16:00:00,Adversity,Std,1404,0.513392886872
91,2013-12-01 16:00:00,Adversity,ToU,280,0.463866822235
92,2013-12-01 16:00:00,Affluent,Std,1526,0.737541481058
93,2013-12-01 16:00:00,Affluent,ToU,458,0.621014596018
94,2013-12-01 16:00:00,Comfortable,Std,1113,0.655821498538
95,2013-12-01 16:00:00,Comfortable,ToU,299,0.517187451196
96,2013-12-01 17:00:00,Adversity,Std,1402,0.617719336757
97,2013-12-01 17:00:00,Adversity,ToU,280,0.588421633943
98,2013-12-01 17:00:00,Affluent,Std,1526,0.933962262331
99,2013-12-01 17:00:00,Affluent,ToU,457,0.762823279297
100,2013-12-01 17:00:00,Comfortable,Std,1113,0.774626481951
101,2013-12-01 17:00:00,Comfortable,ToU,299,0.579115679291
102,2013-12-01 18:00:00,Adversity,Std,1404,0.645547475975
103,2013-12-01 18:00:00,Adversity,ToU,280,0.694619589433
104,2013-12-01 18:00:00,Affluent,Std,1527,1.05278060782
105,2013-12-01 18:00:00,Affluent,ToU,458,1.03200576725
106,2013-12-01 18:00:00,Comfortable,Std,1113,0.832204444195
107,2013-12-01 18:00:00,Comfortable,ToU,299,0.826835511975
108,2013-12-01 19:00:00,Adversity,Std,1404,0.651432025231
109,2013-12-01 19:00:00,Adversity,ToU,280,0.673456290006
110,2013-12-01 19:00:00,Affluent,Std,1527,1.13151659808
111,2013-12-01 19:00:00,Affluent,ToU,458,1.08745951336
112,2013-12-01 19:00:00,Comfortable,Std,1113,0.839355626688
113,2013-12-01 19:00:00,Comfortable,ToU,298,0.81486422373
114,2013-12-01 20:00:00,Adversity,Std,1404,0.607489135348
115,2013-12-01 20:00:00,Adversity,ToU,280,0.673321091303
116,2013-12-01 20:00:00,Affluent,Std,1527,1.10412000156
117,2013-12-01 20:00:00,Affluent,ToU,458,1.14424113158
118,2013-12-01 20:00:00,Comfortable,Std,1113,0.74584177115
119,2013-12-01 20:00:00,Comfortable,ToU,298,0.746170132245
120,2013-12-01 21:00:00,Adversity,Std,1403,0.575801102386
121,2013-12-01 21:00:00,Adversity,ToU,280,0.550999762403
122,2013-12-01 21:00:00,Affluent,Std,1527,0.989979164508
123,2013-12-01 21:00:00,Affluent,ToU,458,0.898549090655
124,2013-12-01 21:00:00,Comfortable,Std,1113,0.690356213795
125,2013-12-01 21:00:00,Comfortable,ToU,298,0.591945179387
126,2013-12-01 22:00:00,Adversity,Std,1403,0.537642841655
127,2013-12-01 22:00:00,Adversity,ToU,280,0.45656543853
128,2013-12-01 22:00:00,Affluent,Std,1527,0.873817331315
129,2013-12-01 22:00:00,Affluent,ToU,458,0.923505639117
130,2013-12-01 22:00:00,Comfortable,Std,1113,0.625929117514
131,2013-12-01 22:00:00,Comfortable,ToU,299,0.56589063938
132,2013-12-01 23:00:00,Adversity,Std,1403,0.441973489802
133,2013-12-01 23:00:00,Adversity,ToU,280,0.430713026756
134,2013-12-01 23:00:00,Affluent,Std,1527,0.735493289125
135,2013-12-01 23:00:00,Affluent,ToU,458,0.732379764911
136,2013-12-01 23:00:00,Comfortable,Std,1113,0.536587340289
137,2013-12-01 23:00:00,Comfortable,ToU,299,0.508927998586
138,2013-12-02 00:00:00,Adversity,Std,1403,0.411127722645
139,2013-12-02 00:00:00,Adversity,ToU,280,0.328164679765
140,2013-12-02 00:00:00,Affluent,Std,1527,0.55162718626
141,2013-12-02 00:00:00,Affluent,ToU,458,0.504482209092
142,2013-12-02 00:00:00,Comfortable,Std,1113,0.454236586095
143,2013-12-02 00:00:00,Comfortable,ToU,299,0.382245166138
144,2013-12-02 01:00:00,Adversity,Std,1405,0.373408041673
145,2013-12-02 01:00:00,Adversity,ToU,280,0.239057370408
146,2013-12-02 01:00:00,Affluent,Std,1526,0.413168858389
147,2013-12-02 01:00:00,Affluent,ToU,457,0.382737884427
148,2013-12-02 01:00:00,Comfortable,Std,1112,0.400038197357
149,2013-12-02 01:00:00,Comfortable,ToU,298,0.290855997011
150,2013-12-02 02:00:00,Adversity,Std,1405,0.290424335217
151,2013-12-02 02:00:00,Adversity,ToU,280,0.192934179709
152,2013-12-02 02:00:00,Affluent,Std,1526,0.345418571171
153,2013-12-02 02:00:00,Affluent,ToU,457,0.293402345565
154,2013-12-02 02:00:00,Comfortable,Std,1112,0.314499646381
155,2013-12-02 02:00:00,Comfortable,ToU,298,0.20186181341
156,2013-12-02 03:00:00,Adversity,Std,1405,0.238693644036
