,Datetime,Dew_Point_F,Temperature_F,Wind_Speed_MPH
0,2011-12-01 00:00:00,46.4,50.0,16.1
1,2011-12-01 01:00:00,48.2,51.8,15.0
2,2011-12-01 02:00:00,48.2,51.8,18.4
3,2011-12-01 03:00:00,46.4,51.8,13.8
4,2011-12-01 04:00:00,46.4,51.8,11.5
5,2011-12-01 05:00:00,46.4,51.8,11.5
6,2011-12-01 06:00:00,46.4,53.6,11.5
7,2011-12-01 07:00:00,48.2,51.8,9.2
8,2011-12-01 08:00:00,48.2,51.8,10.4
9,2011-12-01 09:00:00,46.4,50.0,9.2
10,2011-12-01 10:00:00,44.6,51.8,11.5
11,2011-12-01 11:00:00,39.2,50.0,13.8
12,2011-12-01 12:00:00,39.2,50.0,6.9
13,2011-12-01 13:00:00,41.0,50.0,6.9
14,2011-12-01 14:00:00,41.0,50.0,5.8
15,2011-12-01 15:00:00,39.2,50.0,3.5
16,2011-12-01 16:00:00,37.4,50.0,2.3
17,2011-12-01 17:00:00,41.0,46.4,Calm
18,2011-12-01 18:00:00,42.8,46.4,3.5
19,2011-12-01 19:00:00,42.8,44.6,2.3
20,2011-12-01 20:00:00,39.2,46.4,Calm
21,2011-12-01 21:00:00,39.2,46.4,2.3
22,2011-12-01 22:00:00,41.0,44.6,4.6
23,2011-12-01 23:00:00,41.0,44.6,4.6
24,2011-12-02 00:00:00,39.2,41.0,8.1
25,2011-12-02 01:00:00,39.2,41.0,5.8
26,2011-12-02 02:00:00,37.4,39.2,5.8
27,2011-12-02 03:00:00,35.6,37.4,3.5
28,2011-12-02 04:00:00,35.6,35.6,6.9
29,2011-12-02 05:00:00,35.6,35.6,6.9
30,2011-12-02 06:00:00,35.6,37.4,5.8
31,2011-12-02 07:00:00,35.6,37.4,5.8
32,2011-12-02 08:00:00,33.8,35.6,5.8
33,2011-12-02 09:00:00,35.6,39.2,6.9
34,2011-12-02 10:00:00,37.4,41.0,6.9
35,2011-12-02 11:00:00,39.2,44.6,9.2
36,2011-12-02 12:00:00,39.2,44.6,10.4
37,2011-12-02 13:00:00,39.2,44.6,9.2
38,2011-12-02 14:00:00,37.4,46.4,11.5
39,2011-12-02 15:00:00,39.2,44.6,8.1
40,2011-12-02 16:00:00,37.4,42.8,9.2
41,2011-12-02 17:00:00,39.2,42.8,10.4
42,2011-12-02 18:00:00,39.2,42.8,9.2
43,2011-12-02 19:00:00,39.2,42.8,9.2
44,2011-12-02 20:00:00,39.2,46.4,16.1
45,2011-12-02 21:00:00,39.2,46.4,15.0
46,2011-12-02 22:00:00,41.0,46.4,12.7
47,2011-12-02 23:00:00,44.6,46.4,11.5
48,2011-12-03 00:00:00,46.4,48.2,13.8
49,2011-12-03 01:00:00,46.4,50.0,16.1
