,Datetime,Dew_Point_F,Temperature_F,Wind_Speed_MPH
0,2012-12-01 00:00:00,30.2,32.0,3.5
1,2012-12-01 01:00:00,30.2,32.0,3.5
2,2012-12-01 02:00:00,30.2,30.2,5.8
3,2012-12-01 03:00:00,30.2,30.2,4.6
4,2012-12-01 04:00:00,30.2,30.2,2.3
5,2012-12-01 05:00:00,30.2,30.2,3.5
6,2012-12-01 06:00:00,30.2,30.2,5.8
7,2012-12-01 07:00:00,30.2,30.2,5.8
8,2012-12-01 08:00:00,30.2,30.2,5.8
9,2012-12-01 09:00:00,30.2,32.0,6.9
10,2012-12-01 10:00:00,33.8,33.8,5.8
11,2012-12-01 11:00:00,37.4,39.2,12.7
12,2012-12-01 12:00:00,37.4,41.0,11.5
13,2012-12-01 13:00:00,37.4,42.8,10.4
14,2012-12-01 14:00:00,35.6,42.8,9.2
15,2012-12-01 15:00:00,33.8,42.8,8.1
16,2012-12-01 16:00:00,33.8,41.0,8.1
17,2012-12-01 17:00:00,32.0,41.0,5.8
18,2012-12-01 18:00:00,32.0,39.2,6.9
19,2012-12-01 19:00:00,32.0,37.4,5.8
20,2012-12-01 20:00:00,32.0,37.4,6.9
21,2012-12-01 21:00:00,32.0,35.6,5.8
22,2012-12-01 22:00:00,30.2,35.6,6.9
23,2012-12-02 00:00:00,26.6,30.2,3.5
24,2012-12-02 02:00:00,26.6,28.4,5.8
25,2012-12-02 03:00:00,26.6,28.4,5.8
26,2012-12-02 04:00:00,26.6,26.6,6.9
27,2012-12-02 05:00:00,26.6,26.6,3.5
28,2012-12-02 06:00:00,26.6,28.4,4.6
29,2012-12-02 07:00:00,28.4,32.0,4.6
30,2012-12-02 08:00:00,26.6,30.2,5.8
31,2012-12-02 09:00:00,30.2,32.0,6.9
32,2012-12-02 10:00:00,30.2,35.6,6.9
33,2012-12-02 11:00:00,32.0,37.4,8.1
34,2012-12-02 12:00:00,32.0,39.2,6.9
35,2012-12-02 13:00:00,32.0,41.0,6.9
36,2012-12-02 14:00:00,32.0,39.2,6.9
37,2012-12-02 15:00:00,32.0,39.2,5.8
38,2012-12-02 16:00:00,32.0,37.4,6.9
39,2012-12-02 17:00:00,30.2,37.4,5.8
40,2012-12-02 18:00:00,32.0,39.2,5.8
41,2012-12-02 19:00:00,32.0,37.4,5.8
42,2012-12-02 20:00:00,32.0,37.4,6.9
43,2012-12-02 21:00:00,32.0,37.4,5.8
44,2012-12-02 22:00:00,32.0,37.4,6.9
45,2012-12-02 23:00:00,33.8,37.4,5.8
46,2012-12-03 00:00:00,35.6,37.4,6.9
47,2012-12-03 01:00:00,37.4,37.4,5.8
48,2012-12-03 02:00:00,37.4,39.2,5.8
49,2012-12-03 03:00:00,39.2,39.2,3.5
50,2012-12-03 04:00:00,42.8,44.6,4.6
51,2012-12-03 05:00:00,44.6,46.4,12.7
52,2012-12-03 06:00:00,46.4,48.2,11.5
53,2012-12-03 07:00:00,46.4,50.0,11.5
54,2012-12-03 08:00:00,48.2,50.0,10.4
55,2012-12-03 09:00:00,48.2,51.8,11.5
56,2012-12-03 10:00:00,48.2,50.0,11.5
57,2012-12-03 11:00:00,46.4,50.0,11.5
58,2012-12-03 12:00:00,44.6,50.0,16.1
59,2012-12-03 13:00:00,41.0,48.2,13.8
60,2012-12-03 14:00:00,39.2,46.4,15.0
61,2012-12-03 15:00:00,37.4,44.6,16.1
62,2012-12-03 16:00:00,37.4,44.6,11.5
63,2012-12-03 17:00:00,37.4,42.8,11.5
64,2012-12-03 18:00:00,37.4,42.8,11.5
65,2012-12-03 19:00:00,37.4,41.0,11.5
66,2012-12-03 20:00:00,37.4,42.8,10.4
67,2012-12-03 21:00:00,35.6,42.8,16.1
68,2012-12-03 22:00:00,33.8,39.2,12.7
69,2012-12-03 23:00:00,33.8,39.2,9.2
70,2012-12-04 00:00:00,33.8,39.2,9.2
71,2012-12-04 01:00:00,33.8,37.4,8.1
72,2012-12-04 02:00:00,33.8,35.6,9.2
73,2012-12-04 03:00:00,33.8,35.6,8.1
74,2012-12-04 04:00:00,33.8,37.4,10.4
75,2012-12-04 05:00:00,33.8,35.6,9.2
76,2012-12-04 06:00:00,33.8,37.4,12.7
77,2012-12-04 07:00:00,33.8,37.4,10.4
78,2012-12-04 08:00:00,35.6,39.2,9.2
79,2012-12-04 09:00:00,35.6,41.0,13.8
80,2012-12-04 10:00:00,37.4,42.8,15.0
81,2012-12-04 11:00:00,37.4,44.6,15.0
82,2012-12-04 12:00:00,37.4,46.4,13.8
83,2012-12-04 13:00:00,35.6,46.4,12.7
84,2012-12-04 14:00:00,35.6,46.4,13.8
85,2012-12-04 15:00:00,35.6,44.6,11.5
86,2012-12-04 16:00:00,33.8,39.2,9.2
87,2012-12-04 17:00:00,33.8,41.0,12.7
88,2012-12-04 18:00:00,33.8,39.2,10.4
89,2012-12-04 19:00:00,33.8,37.4,10.4
90,2012-12-04 20:00:00,32.0,35.6,10.4
91,2012-12-04 21:00:00,32.0,35.6,6.9
92,2012-12-04 22:00:00,30.2,33.8,5.8
93,2012-12-04 23:00:00,32.0,33.8,Calm
94,2012-12-05 00:00:00,30.2,32.0,3.5
95,2012-12-05 01:00:00,28.4,30.2,Calm
96,2012-12-05 02:00:00,30.2,30.2,Calm
97,2012-12-05 03:00:00,28.4,30.2,Calm
98,2012-12-05 04:00:00,28.4,30.2,3.5
99,2012-12-05 05:00:00,30.2,32.0,4.6
100,2012-12-05 06:00:00,32.0,33.8,3.5
101,2012-12-05 07:00:00,32.0,33.8,3.5
102,2012-12-05 08:00:00,33.8,35.6,5.8
103,2012-12-05 09:00:00,33.8,35.6,6.9
104,2012-12-05 10:00:00,33.8,37.4,6.9
105,2012-12-05 11:00:00,33.8,39.2,9.2
106,2012-12-05 12:00:00,32.0,39.2,9.2
107,2012-12-05 15:00:00,28.4,37.4,9.2
108,2012-12-05 16:00:00,28.4,37.4,9.2
109,2012-12-05 17:00:00,28.4,37.4,6.9
110,2012-12-05 18:00:00,28.4,37.4,8.1
111,2012-12-05 19:00:00,26.6,35.6,5.8
112,2012-12-05 20:00:00,26.6,33.8,6.9
113,2012-12-05 21:00:00,26.6,33.8,6.9
114,2012-12-05 22:00:00,26.6,33.8,6.9
115,2012-12-05 23:00:00,26.6,32.0,6.9
116,2012-12-06 00:00:00,26.6,30.2,4.6
117,2012-12-06 01:00:00,24.8,28.4,4.6
118,2012-12-06 02:00:00,23.0,26.6,5.8
119,2012-12-06 03:00:00,23.0,26.6,5.8
120,2012-12-06 04:00:00,23.0,26.6,5.8
121,2012-12-06 05:00:00,24.8,28.4,2.3
122,2012-12-06 06:00:00,24.8,28.4,3.5
123,2012-12-06 07:00:00,24.8,26.6,4.6
124,2012-12-06 08:00:00,24.8,28.4,5.8
125,2012-12-06 09:00:00,26.6,30.2,4.6
126,2012-12-06 10:00:00,26.6,30.2,6.9
127,2012-12-06 11:00:00,26.6,32.0,8.1
128,2012-12-06 12:00:00,28.4,35.6,9.2
129,2012-12-06 13:00:00,28.4,37.4,8.1
130,2012-12-06 14:00:00,30.2,37.4,11.5
131,2012-12-06 15:00:00,32.0,39.2,11.5
132,2012-12-06 16:00:00,33.8,37.4,9.2
133,2012-12-06 17:00:00,33.8,39.2,10.4
134,2012-12-06 18:00:00,35.6,39.2,11.5
135,2012-12-06 19:00:00,35.6,39.2,10.4
136,2012-12-06 20:00:00,35.6,39.2,12.7
137,2012-12-06 21:00:00,37.4,39.2,13.8
138,2012-12-06 22:00:00,37.4,41.0,15.0
139,2012-12-06 23:00:00,39.2,41.0,15.0
140,2012-12-07 00:00:00,39.2,42.8,21.9
141,2012-12-07 01:00:00,37.4,41.0,15.0
142,2012-12-07 02:00:00,35.6,39.2,13.8
143,2012-12-07 03:00:00,33.8,37.4,11.5
144,2012-12-07 04:00:00,33.8,37.4,11.5
145,2012-12-07 05:00:00,32.0,37.4,11.5
146,2012-12-07 06:00:00,32.0,37.4,12.7
147,2012-12-07 07:00:00,33.8,37.4,12.7
148,2012-12-07 08:00:00,33.8,37.4,18.4
149,2012-12-07 09:00:00,33.8,37.4,15.0
150,2012-12-07 10:00:00,35.6,41.0,15.0
151,2012-12-07 11:00:00,33.8,42.8,16.1
152,2012-12-07 12:00:00,33.8,44.6,16.1
153,2012-12-07 13:00:00,32.0,44.6,13.8
154,2012-12-07 14:00:00,32.0,44.6,15.0
155,2012-12-07 15:00:00,33.8,42.8,13.8
156,2012-12-07 16:00:00,33.8,42.8,12.7
157,2012-12-07 17:00:00,32.0,41.0,10.4
158,2012-12-07 18:00:00,32.0,41.0,12.7
159,2012-12-07 19:00:00,33.8,41.0,13.8
160,2012-12-07 20:00:00,33.8,41.0,9.2
161,2012-12-07 21:00:00,35.6,41.0,9.2
162,2012-12-07 22:00:00,35.6,41.0,10.4
163,2012-12-07 23:00:00,35.6,41.0,9.2
164,2012-12-08 00:00:00,35.6,41.0,6.9
165,2012-12-08 01:00:00,33.8,41.0,6.9
166,2012-12-08 02:00:00,33.8,41.0,5.8
167,2012-12-08 03:00:00,33.8,41.0,3.5
168,2012-12-08 04:00:00,35.6,41.0,4.6
169,2012-12-08 05:00:00,35.6,41.0,4.6
170,2012-12-08 06:00:00,35.6,41.0,4.6
171,2012-12-08 07:00:00,35.6,41.0,4.6
172,2012-12-08 08:00:00,35.6,39.2,2.3
173,2012-12-08 09:00:00,35.6,39.2,5.8
174,2012-12-08 10:00:00,35.6,41.0,5.8
