,Datetime,Dew_Point_F,Temperature_F,Wind_Speed_MPH
0,2014-12-01 00:20:00,44.6,50.0,9.2
1,2014-12-01 01:20:00,42.8,48.2,9.2
2,2014-12-01 02:20:00,42.8,46.4,8.1
3,2014-12-01 03:20:00,41.0,46.4,6.9
4,2014-12-01 04:20:00,41.0,46.4,9.2
5,2014-12-01 05:20:00,41.0,46.4,9.2
6,2014-12-01 06:20:00,39.2,46.4,8.1
7,2014-12-01 07:20:00,39.2,44.6,9.2
8,2014-12-01 08:20:00,39.2,44.6,8.1
9,2014-12-01 09:20:00,39.2,44.6,6.9
10,2014-12-01 10:20:00,39.2,46.4,10.4
11,2014-12-01 11:20:00,39.2,44.6,8.1
12,2014-12-01 12:20:00,39.2,46.4,5.8
13,2014-12-01 13:20:00,39.2,44.6,5.8
14,2014-12-01 14:20:00,39.2,44.6,5.8
15,2014-12-01 15:20:00,39.2,44.6,6.9
16,2014-12-01 16:20:00,39.2,44.6,6.9
17,2014-12-01 17:20:00,39.2,44.6,6.9
18,2014-12-01 18:20:00,39.2,44.6,4.6
19,2014-12-01 19:20:00,39.2,44.6,6.9
20,2014-12-01 20:20:00,39.2,44.6,3.5
21,2014-12-01 21:20:00,39.2,42.8,5.8
22,2014-12-01 22:20:00,41.0,42.8,4.6
23,2014-12-01 23:20:00,39.2,42.8,3.5
24,2014-12-02 00:20:00,39.2,44.6,5.8
25,2014-12-02 01:20:00,39.2,44.6,5.8
26,2014-12-02 02:20:00,39.2,42.8,4.6
27,2014-12-02 03:20:00,39.2,44.6,5.8
28,2014-12-02 04:20:00,39.2,44.6,3.5
29,2014-12-02 05:20:00,39.2,44.6,3.5
30,2014-12-02 06:20:00,41.0,42.8,4.6
31,2014-12-02 07:20:00,42.8,44.6,3.5
32,2014-12-02 08:20:00,42.8,44.6,3.5
33,2014-12-02 09:20:00,42.8,46.4,11.5
34,2014-12-02 10:20:00,41.0,46.4,12.7
35,2014-12-02 11:20:00,41.0,44.6,11.5
36,2014-12-02 12:20:00,41.0,44.6,11.5
37,2014-12-02 13:20:00,41.0,46.4,12.7
38,2014-12-02 14:20:00,39.2,46.4,12.7
39,2014-12-02 15:20:00,39.2,46.4,11.5
40,2014-12-02 16:20:00,39.2,46.4,10.4
41,2014-12-02 17:20:00,39.2,46.4,15.0
42,2014-12-02 18:20:00,39.2,44.6,11.5
43,2014-12-02 19:20:00,37.4,44.6,13.8
44,2014-12-02 20:20:00,37.4,44.6,13.8
45,2014-12-02 21:20:00,37.4,44.6,11.5
46,2014-12-02 22:20:00,35.6,42.8,11.5
47,2014-12-02 23:20:00,35.6,44.6,12.7
48,2014-12-03 00:20:00,35.6,42.8,12.7
49,2014-12-03 01:20:00,33.8,41.0,9.2
50,2014-12-03 02:20:00,33.8,41.0,9.2
51,2014-12-03 03:20:00,33.8,41.0,9.2
52,2014-12-03 04:20:00,33.8,41.0,9.2
53,2014-12-03 05:20:00,33.8,39.2,8.1
54,2014-12-03 06:20:00,33.8,39.2,8.1
55,2014-12-03 07:20:00,35.6,39.2,8.1
56,2014-12-03 08:20:00,35.6,39.2,5.8
57,2014-12-03 09:20:00,35.6,41.0,6.9
58,2014-12-03 10:20:00,35.6,42.8,10.4
59,2014-12-03 11:20:00,35.6,44.6,8.1
60,2014-12-03 12:20:00,35.6,46.4,10.4
61,2014-12-03 13:20:00,37.4,46.4,12.7
62,2014-12-03 14:20:00,37.4,46.4,9.2
63,2014-12-03 15:20:00,39.2,46.4,10.4
64,2014-12-03 16:20:00,41.0,44.6,8.1
65,2014-12-03 17:20:00,41.0,44.6,5.8
66,2014-12-03 18:20:00,41.0,44.6,6.9
67,2014-12-03 19:20:00,41.0,44.6,5.8
68,2014-12-03 20:20:00,41.0,44.6,4.6
69,2014-12-03 21:20:00,41.0,44.6,8.1
70,2014-12-03 22:20:00,41.0,44.6,6.9
71,2014-12-03 23:20:00,39.2,42.8,4.6
72,2014-12-04 00:20:00,39.2,42.8,6.9
73,2014-12-04 01:20:00,37.4,42.8,9.2
74,2014-12-04 02:20:00,35.6,41.0,9.2
75,2014-12-04 03:20:00,33.8,41.0,13.8
76,2014-12-04 04:20:00,33.8,41.0,12.7
77,2014-12-04 05:20:00,33.8,41.0,8.1
78,2014-12-04 06:20:00,33.8,41.0,9.2
79,2014-12-04 07:20:00,35.6,41.0,9.2
80,2014-12-04 08:20:00,35.6,39.2,9.2
81,2014-12-04 09:20:00,37.4,39.2,5.8
82,2014-12-04 10:20:00,37.4,39.2,5.8
83,2014-12-04 11:20:00,37.4,39.2,2.3
84,2014-12-04 12:20:00,37.4,39.2,Calm
85,2014-12-04 13:20:00,37.4,39.2,4.6
86,2014-12-04 14:20:00,37.4,39.2,3.5
87,2014-12-04 15:20:00,37.4,39.2,2.3
88,2014-12-04 16:20:00,37.4,39.2,4.6
89,2014-12-04 17:20:00,37.4,37.4,2.3
90,2014-12-04 18:20:00,37.4,39.2,Calm
91,2014-12-04 19:20:00,37.4,39.2,2.3
92,2014-12-04 20:20:00,37.4,39.2,2.3
93,2014-12-04 21:20:00,37.4,39.2,3.5
94,2014-12-04 22:20:00,37.4,39.2,2.3
95,2014-12-04 23:20:00,37.4,39.2,2.3
96,2014-12-05 00:20:00,37.4,39.2,2.3
97,2014-12-05 01:20:00,37.4,39.2,2.3
98,2014-12-05 02:20:00,37.4,39.2,3.5
99,2014-12-05 03:20:00,37.4,39.2,2.3
100,2014-12-05 04:20:00,37.4,39.2,3.5
101,2014-12-05 05:20:00,37.4,39.2,3.5
102,2014-12-05 06:20:00,37.4,39.2,4.6
103,2014-12-05 07:20:00,37.4,39.2,3.5
