,LCLid,stdorToU,DateTime,KWH/hh (per half hour) ,Acorn,Acorn_grouped
24571,MAC000303,ToU,2013-07-02 08:00:00.0000000, 0.086 ,ACORN-L,Adversity
24572,MAC000303,ToU,2013-07-02 08:30:00.0000000, 0.102 ,ACORN-L,Adversity
24573,MAC000303,ToU,2013-07-02 09:00:00.0000000, 0.132 ,ACORN-L,Adversity
24574,MAC000303,ToU,2013-07-02 09:30:00.0000000, 0.045 ,ACORN-L,Adversity
24575,MAC000303,ToU,2013-07-02 10:00:00.0000000, 0.076 ,ACORN-L,Adversity
24576,MAC000303,ToU,2013-07-02 10:30:00.0000000, 0.089 ,ACORN-L,Adversity
24577,MAC000303,ToU,2013-07-02 11:00:00.0000000, 0.16 ,ACORN-L,Adversity
24578,MAC000303,ToU,2013-07-02 11:30:00.0000000, 0.329 ,ACORN-L,Adversity
24579,MAC000303,ToU,2013-07-02 12:00:00.0000000, 0.09 ,ACORN-L,Adversity
24580,MAC000303,ToU,2013-07-02 12:30:00.0000000, 0.118 ,ACORN-L,Adversity
24581,MAC000303,ToU,2013-07-02 13:00:00.0000000, 0.123 ,ACORN-L,Adversity
24582,MAC000303,ToU,2013-07-02 13:30:00.0000000, 0.132 ,ACORN-L,Adversity
24583,MAC000303,ToU,2013-07-02 14:00:00.0000000, 0.191 ,ACORN-L,Adversity
24584,MAC000303,ToU,2013-07-02 14:30:00.0000000, 0.115 ,ACORN-L,Adversity
24585,MAC000303,ToU,2013-07-02 15:00:00.0000000, 0.203 ,ACORN-L,Adversity
24586,MAC000303,ToU,2013-07-02 15:30:00.0000000, 0.114 ,ACORN-L,Adversity
24587,MAC000303,ToU,2013-07-02 16:00:00.0000000, 0.172 ,ACORN-L,Adversity
24588,MAC000303,ToU,2013-07-02 16:30:00.0000000, 0.122 ,ACORN-L,Adversity
24589,MAC000303,ToU,2013-07-02 17:00:00.0000000, 0.123 ,ACORN-L,Adversity
24590,MAC000303,ToU,2013-07-02 17:30:00.0000000, 0.119 ,ACORN-L,Adversity
24591,MAC000303,ToU,2013-07-02 18:00:00.0000000, 0.122 ,ACORN-L,Adversity
24592,MAC000303,ToU,2013-07-02 18:30:00.0000000, 0.124 ,ACORN-L,Adversity
24593,MAC000303,ToU,2013-07-02 19:00:00.0000000, 0.226 ,ACORN-L,Adversity
24594,MAC000303,ToU,2013-07-02 19:30:00.0000000, 0.145 ,ACORN-L,Adversity
24595,MAC000303,ToU,2013-07-02 20:00:00.0000000, 0.165 ,ACORN-L,Adversity
24596,MAC000303,ToU,2013-07-02 20:30:00.0000000, 0.255 ,ACORN-L,Adversity
24597,MAC000303,ToU,2013-07-02 21:00:00.0000000, 0.181 ,ACORN-L,Adversity
24598,MAC000303,ToU,2013-07-02 21:30:00.0000000, 0.188 ,ACORN-L,Adversity
24599,MAC000303,ToU,2013-07-02 22:00:00.0000000, 0.146 ,ACORN-L,Adversity
24600,MAC000303,ToU,2013-07-02 22:30:00.0000000, 0.085 ,ACORN-L,Adversity
24601,MAC000303,ToU,2013-07-02 23:00:00.0000000, 0.03 ,ACORN-L,Adversity
24602,MAC000303,ToU,2013-07-02 23:30:00.0000000, 0.046 ,ACORN-L,Adversity
24603,MAC000303,ToU,2013-07-03 00:00:00.0000000, 0.034 ,ACORN-L,Adversity
24604,MAC000303,ToU,2013-07-03 00:30:00.0000000, 0.035 ,ACORN-L,Adversity
24605,MAC000303,ToU,2013-07-03 01:00:00.0000000, 0.039 ,ACORN-L,Adversity
24606,MAC000303,ToU,2013-07-03 01:30:00.0000000, 0.038 ,ACORN-L,Adversity
24607,MAC000303,ToU,2013-07-03 02:00:00.0000000, 0.032 ,ACORN-L,Adversity
24608,MAC000303,ToU,2013-07-03 02:30:00.0000000, 0.036 ,ACORN-L,Adversity
24609,MAC000303,ToU,2013-07-03 03:00:00.0000000, 0.032 ,ACORN-L,Adversity
24610,MAC000303,ToU,2013-07-03 03:30:00.0000000, 0.036 ,ACORN-L,Adversity
24611,MAC000303,ToU,2013-07-03 04:00:00.0000000, 0.029 ,ACORN-L,Adversity
24612,MAC000303,ToU,2013-07-03 04:30:00.0000000, 0.038 ,ACORN-L,Adversity
24613,MAC000303,ToU,2013-07-03 05:00:00.0000000, 0.033 ,ACORN-L,Adversity
24614,MAC000303,ToU,2013-07-03 05:30:00.0000000, 0.044 ,ACORN-L,Adversity
24615,MAC000303,ToU,2013-07-03 06:00:00.0000000, 0.081 ,ACORN-L,Adversity
24616,MAC000303,ToU,2013-07-03 06:30:00.0000000, 0.149 ,ACORN-L,Adversity
24617,MAC000303,ToU,2013-07-03 07:00:00.0000000, 0.151 ,ACORN-L,Adversity
24618,MAC000303,ToU,2013-07-03 07:30:00.0000000, 0.045 ,ACORN-L,Adversity
24619,MAC000303,ToU,2013-07-03 08:00:00.0000000, 0.119 ,ACORN-L,Adversity
24620,MAC000303,ToU,2013-07-03 08:30:00.0000000, 0.034 ,ACORN-L,Adversity
24621,MAC000303,ToU,2013-07-03 09:00:00.0000000, 0.046 ,ACORN-L,Adversity
24622,MAC000303,ToU,2013-07-03 09:30:00.0000000, 0.204 ,ACORN-L,Adversity
24623,MAC000303,ToU,2013-07-03 10:00:00.0000000, 0.138 ,ACORN-L,Adversity
24624,MAC000303,ToU,2013-07-03 10:30:00.0000000, 0.471 ,ACORN-L,Adversity
24625,MAC000303,ToU,2013-07-03 11:00:00.0000000, 0.144 ,ACORN-L,Adversity
24626,MAC000303,ToU,2013-07-03 11:30:00.0000000, 0.199 ,ACORN-L,Adversity
24627,MAC000303,ToU,2013-07-03 12:00:00.0000000, 0.105 ,ACORN-L,Adversity
24628,MAC000303,ToU,2013-07-03 12:30:00.0000000, 0.12 ,ACORN-L,Adversity
24629,MAC000303,ToU,2013-07-03 13:00:00.0000000, 0.11 ,ACORN-L,Adversity
24630,MAC000303,ToU,2013-07-03 13:30:00.0000000, 0.035 ,ACORN-L,Adversity
24631,MAC000303,ToU,2013-07-03 14:00:00.0000000, 0.486 ,ACORN-L,Adversity
24632,MAC000303,ToU,2013-07-03 14:30:00.0000000, 0.13 ,ACORN-L,Adversity
24633,MAC000303,ToU,2013-07-03 15:00:00.0000000, 0.133 ,ACORN-L,Adversity
24634,MAC000303,ToU,2013-07-03 15:30:00.0000000, 0.049 ,ACORN-L,Adversity
24635,MAC000303,ToU,2013-07-03 16:00:00.0000000, 0.158 ,ACORN-L,Adversity
24636,MAC000303,ToU,2013-07-03 16:30:00.0000000, 0.462 ,ACORN-L,Adversity
24637,MAC000303,ToU,2013-07-03 17:00:00.0000000, 0.661 ,ACORN-L,Adversity
24638,MAC000303,ToU,2013-07-03 17:30:00.0000000, 0.111 ,ACORN-L,Adversity
