DateTime,Acorn_grouped,stdorToU,LCLid,KWH/h (per hour)
2011-12-01 16:00:00,Adversity,ToU,4,0.402333333333
2011-12-01 16:00:00,Affluent,Std,27,0.649346151923
2011-12-01 16:00:00,Affluent,ToU,6,0.383
2011-12-01 16:00:00,Comfortable,Std,31,0.532532407407
2011-12-01 16:00:00,Comfortable,ToU,4,0.472333333333
2011-12-01 17:00:00,Adversity,Std,20,0.720341666667
2011-12-01 17:00:00,Adversity,ToU,4,0.607
2011-12-01 17:00:00,Affluent,Std,27,0.649038461538
2011-12-01 17:00:00,Affluent,ToU,6,0.60675
2011-12-01 17:00:00,Comfortable,Std,31,0.765393518519
2011-12-01 17:00:00,Comfortable,ToU,4,0.330499999999
2011-12-01 18:00:00,Adversity,Std,20,0.458875
2011-12-01 18:00:00,Adversity,ToU,4,0.812
2011-12-01 18:00:00,Affluent,Std,27,1.03528846539
2011-12-01 18:00:00,Affluent,ToU,6,0.89675
2011-12-01 18:00:00,Comfortable,Std,31,1.07284722222
2011-12-01 18:00:00,Comfortable,ToU,4,0.4115
2011-12-01 19:00:00,Adversity,Std,20,0.546591666667
2011-12-01 19:00:00,Adversity,ToU,4,0.888833333333
2011-12-01 19:00:00,Affluent,Std,27,1.44990384615
2011-12-01 19:00:00,Affluent,ToU,6,1.91562505
2011-12-01 19:00:00,Comfortable,Std,31,0.926662037037
2011-12-01 19:00:00,Comfortable,ToU,4,0.5125
2011-12-01 20:00:00,Adversity,Std,20,0.768658333333
2011-12-01 20:00:00,Adversity,ToU,4,0.469166666667
2011-12-01 20:00:00,Affluent,Std,27,1.39834615192
2011-12-01 20:00:00,Affluent,ToU,6,1.54762495
2011-12-01 20:00:00,Comfortable,Std,31,1.27584722222
2011-12-01 20:00:00,Comfortable,ToU,4,0.427166666667
2011-12-01 21:00:00,Adversity,Std,20,0.9846
2011-12-01 21:00:00,Adversity,ToU,4,0.461333333333
2011-12-01 21:00:00,Affluent,Std,27,1.27451923462
2011-12-01 21:00:00,Affluent,ToU,6,1.5135
