,nrg_cons,nrg_cons,nrg_cons
Acorn_grouped,Adversity,Affluent,Comfortable
DateTime,,,
2013-12-01 01:00:00,0.38644404961392875,0.4795988988611204,0.42481266583201066
2013-12-01 02:00:00,0.301772683774658,0.38167072381810324,0.31456649579228046
2013-12-01 03:00:00,0.25305735716030875,0.3354960714125738,0.2633787729103081
2013-12-01 04:00:00,0.229610772429019,0.31218616820539347,0.2525205310520956
2013-12-01 05:00:00,0.21705962332505466,0.3050411176599124,0.2531417629841643
2013-12-01 06:00:00,0.22474447372914017,0.32570678527416425,0.25893205832397587
2013-12-01 07:00:00,0.25758041111265323,0.37159018608744887,0.2946110688058116
2013-12-01 08:00:00,0.31277405156340854,0.4738974010944851,0.36942501185232224
2013-12-01 09:00:00,0.40488242821935394,0.6259305662375151,0.48633038253836264
2013-12-01 10:00:00,0.47033107827726844,0.6854773993102026,0.5400405340259192
2013-12-01 11:00:00,0.4886353498100499,0.7057444802542945,0.5388545962797897
2013-12-01 12:00:00,0.5091086667948741,0.7010984638627672,0.5724275611343939
2013-12-01 13:00:00,0.5100811362485914,0.7269564207000122,0.5764824807065184
2013-12-01 14:00:00,0.524821646222684,0.7524905521589752,0.5892890140505687
2013-12-01 15:00:00,0.5013077047861378,0.708125072236058,0.5647765927829511
2013-12-01 16:00:00,0.5051581492839002,0.7106416255396936,0.6264648553685538
2013-12-01 17:00:00,0.6128421924122199,0.8945217604416718,0.7332258233140736
2013-12-01 18:00:00,0.6537067347447387,1.047987218912665,0.8310675385761755
2013-12-01 19:00:00,0.6550940169988148,1.1213512858372998,0.8341830979272035
2013-12-01 20:00:00,0.6184350662668836,1.1133771690910632,0.7459111202685754
2013-12-01 21:00:00,0.5716749139158633,0.9688834598104312,0.6695720265139341
2013-12-01 22:00:00,0.5241540283008704,0.8852819383544539,0.6132155870876077
2013-12-01 23:00:00,0.44010009131544026,0.7347749041930038,0.5307302983844696
2013-12-02 00:00:00,0.39732519620031787,0.5407494031149401,0.4389919440502812
2013-12-02 01:00:00,0.35108270757555193,0.4061557695838391,0.3769628103335191
2013-12-02 02:00:00,0.274224190681546,0.333430969001589,0.29069391998003685
2013-12-02 03:00:00,0.2302042840418635,0.30637988789179527,0.25999222669471206
2013-12-02 04:00:00,0.20793990127267656,0.3035763405482758,0.23010531562247946
2013-12-02 05:00:00,0.2006307261071365,0.3014307038491271,0.23067876867866807
2013-12-02 06:00:00,0.23149077588894362,0.3304027587386601,0.26654937611352625
2013-12-02 07:00:00,0.3119890229551632,0.4632958739887837,0.3570489089020766
2013-12-02 08:00:00,0.38554641248789323,0.6678267390667286,0.4728490385053334
2013-12-02 09:00:00,0.3955126631866152,0.6462407096810766,0.4771565945666638
2013-12-02 10:00:00,0.3802547594119377,0.5812950333093223,0.4353929479615205
2013-12-02 11:00:00,0.3591731887807359,0.5760097230528437,0.43744243937611205
2013-12-02 12:00:00,0.3632215417356498,0.5540956776454127,0.4401400413111873
2013-12-02 13:00:00,0.3900681958650237,0.607177549511886,0.45448315930753336
2013-12-02 14:00:00,0.372009481184368,0.588571266206999,0.43658236440915177
2013-12-02 15:00:00,0.3765823121351425,0.5955250153627729,0.4642671186413745
2013-12-02 16:00:00,0.42347997363789913,0.6399511227846802,0.5206485841204922
2013-12-02 17:00:00,0.5236562985001781,0.8166364458485742,0.6665930115804992
2013-12-02 18:00:00,0.6141494592628634,0.9993280624120665,0.7596523506415194
2013-12-02 19:00:00,0.6239264597595073,1.0498675297569438,0.7691274803391178
2013-12-02 20:00:00,0.6122858874952463,1.0288116224789878,0.7448008704245772
2013-12-02 21:00:00,0.5740231705853278,0.9820396617525162,0.6864997459080155
2013-12-02 22:00:00,0.5208393994986935,0.9100465543924372,0.6505371481295235
2013-12-02 23:00:00,0.4508544371825273,0.7271775624255017,0.5546641553478014
2013-12-03 00:00:00,0.4049613416891497,0.5345189453777595,0.47539206387850746
2013-12-03 01:00:00,0.3652071187793231,0.3913616153234337,0.37097152206011574
2013-12-03 02:00:00,0.28840869032829214,0.32117516444614724,0.27955232796549184
2013-12-03 03:00:00,0.2355069786052417,0.2987135968822118,0.23895864985417456
2013-12-03 04:00:00,0.21055897578042934,0.30508626448514525,0.2317101692205742
2013-12-03 05:00:00,0.20003716810792815,0.3015562014478896,0.2302044077254209
2013-12-03 06:00:00,0.2411864521047916,0.34111960105334643,0.2658603213424996
2013-12-03 07:00:00,0.3223410885532352,0.4424719099447852,0.36057978657094747
2013-12-03 08:00:00,0.4007367215566152,0.6922792832856757,0.5113360341755012
2013-12-03 09:00:00,0.4085394766412351,0.6471051941418895,0.48857487267078353
2013-12-03 10:00:00,0.3787265291749953,0.6077628836612038,0.43966390669108024
2013-12-03 11:00:00,0.36245690997619173,0.5837335041991357,0.42435677454930687
2013-12-03 12:00:00,0.3482598529457078,0.6004652626074346,0.439413305279797
2013-12-03 13:00:00,0.3664436544091307,0.5959501439339212,0.4299995770255053
2013-12-03 14:00:00,0.37210707919101604,0.6424551562858825,0.4367409799510397
2013-12-03 15:00:00,0.3782021507800368,0.6415175209747546,0.4481467861311065
2013-12-03 16:00:00,0.4290232326047684,0.7122385596877016,0.5131501610054818
2013-12-03 17:00:00,0.519392972177693,0.858592560923413,0.660850784400802
2013-12-03 18:00:00,0.6067733850214846,1.0132849649340105,0.7469979818056997
2013-12-03 19:00:00,0.6217006344115635,1.0544142878678417,0.7719521210228197
2013-12-03 20:00:00,0.5981858357562796,1.0582964173864347,0.7371495471243819
2013-12-03 21:00:00,0.576189901586476,1.0298605233306,0.7034375421187559
