,DateTime,Acorn_grouped,stdorToU,N,nrg_cons
83,2012-12-01 13:00:00,Comfortable,ToU,322,0.532256635201
84,2012-12-01 14:00:00,Adversity,Std,1508,0.472172738843
85,2012-12-01 14:00:00,Adversity,ToU,296,0.478059276726
86,2012-12-01 14:00:00,Affluent,Std,1692,0.779734349259
87,2012-12-01 14:00:00,Affluent,ToU,486,0.848090168609
88,2012-12-01 14:00:00,Comfortable,Std,1174,0.646609515874
89,2012-12-01 14:00:00,Comfortable,ToU,322,0.527350541201
90,2012-12-01 15:00:00,Adversity,Std,1508,0.499277716203
91,2012-12-01 15:00:00,Adversity,ToU,296,0.456132063247
92,2012-12-01 15:00:00,Affluent,Std,1692,0.806701275155
93,2012-12-01 15:00:00,Affluent,ToU,486,0.778710528551
94,2012-12-01 15:00:00,Comfortable,Std,1174,0.654110884899
95,2012-12-01 15:00:00,Comfortable,ToU,322,0.524008296692
96,2012-12-01 16:00:00,Adversity,Std,1508,0.525852034351
97,2012-12-01 16:00:00,Adversity,ToU,296,0.512516002414
98,2012-12-01 16:00:00,Affluent,Std,1692,0.862109636269
99,2012-12-01 16:00:00,Affluent,ToU,486,0.834407731435
100,2012-12-01 16:00:00,Comfortable,Std,1174,0.652615834706
101,2012-12-01 16:00:00,Comfortable,ToU,322,0.56124653402
102,2012-12-01 17:00:00,Adversity,Std,1508,0.598330534492
103,2012-12-01 17:00:00,Adversity,ToU,296,0.646459364241
104,2012-12-01 17:00:00,Affluent,Std,1692,0.983071028841
105,2012-12-01 17:00:00,Affluent,ToU,486,0.931694830838
106,2012-12-01 17:00:00,Comfortable,Std,1174,0.804606378784
107,2012-12-01 17:00:00,Comfortable,ToU,322,0.724701305884
108,2012-12-01 18:00:00,Adversity,Std,1508,0.671164218445
109,2012-12-01 18:00:00,Adversity,ToU,296,0.705818639187
110,2012-12-01 18:00:00,Affluent,Std,1692,1.13860933309
111,2012-12-01 18:00:00,Affluent,ToU,486,1.02087701685
112,2012-12-01 18:00:00,Comfortable,Std,1174,0.873591265525
113,2012-12-01 18:00:00,Comfortable,ToU,322,0.795178717276
114,2012-12-01 19:00:00,Adversity,Std,1508,0.661477330995
115,2012-12-01 19:00:00,Adversity,ToU,296,0.666513732133
116,2012-12-01 19:00:00,Affluent,Std,1692,1.19893870834
117,2012-12-01 19:00:00,Affluent,ToU,486,1.09324140603
118,2012-12-01 19:00:00,Comfortable,Std,1174,0.879987267407
119,2012-12-01 19:00:00,Comfortable,ToU,322,0.715393363803
120,2012-12-01 20:00:00,Adversity,Std,1508,0.652078786781
121,2012-12-01 20:00:00,Adversity,ToU,296,0.610158741697
122,2012-12-01 20:00:00,Affluent,Std,1692,1.1422560021
123,2012-12-01 20:00:00,Affluent,ToU,486,1.06130234532
124,2012-12-01 20:00:00,Comfortable,Std,1174,0.849181190822
125,2012-12-01 20:00:00,Comfortable,ToU,322,0.677311770894
126,2012-12-01 21:00:00,Adversity,Std,1508,0.606230055491
127,2012-12-01 21:00:00,Adversity,ToU,296,0.585286182275
128,2012-12-01 21:00:00,Affluent,Std,1692,1.03093969439
129,2012-12-01 21:00:00,Affluent,ToU,486,1.08570583552
130,2012-12-01 21:00:00,Comfortable,Std,1174,0.792218738686
131,2012-12-01 21:00:00,Comfortable,ToU,322,0.620183059145
132,2012-12-01 22:00:00,Adversity,Std,1508,0.568303179563
133,2012-12-01 22:00:00,Adversity,ToU,296,0.542540141372
134,2012-12-01 22:00:00,Affluent,Std,1692,0.975027383514
135,2012-12-01 22:00:00,Affluent,ToU,486,0.918873803376
136,2012-12-01 22:00:00,Comfortable,Std,1174,0.732496713337
137,2012-12-01 22:00:00,Comfortable,ToU,322,0.574657626396
138,2012-12-01 23:00:00,Adversity,Std,1508,0.506700355359
139,2012-12-01 23:00:00,Adversity,ToU,296,0.46743722431
140,2012-12-01 23:00:00,Affluent,Std,1692,0.835569625716
141,2012-12-01 23:00:00,Affluent,ToU,486,0.805992228198
142,2012-12-01 23:00:00,Comfortable,Std,1174,0.636200413827
143,2012-12-01 23:00:00,Comfortable,ToU,322,0.566742878024
144,2012-12-02 00:00:00,Adversity,Std,1508,0.412709147318
145,2012-12-02 00:00:00,Adversity,ToU,296,0.409547241576
146,2012-12-02 00:00:00,Affluent,Std,1691,0.62196999619
147,2012-12-02 00:00:00,Affluent,ToU,486,0.7305528897
148,2012-12-02 00:00:00,Comfortable,Std,1173,0.512422610058
149,2012-12-02 00:00:00,Comfortable,ToU,322,0.469995231071
150,2012-12-02 01:00:00,Adversity,Std,1507,0.462815802604
151,2012-12-02 01:00:00,Adversity,ToU,296,0.319022837943
152,2012-12-02 01:00:00,Affluent,Std,1692,0.512129464893
153,2012-12-02 01:00:00,Affluent,ToU,486,0.489611439146
154,2012-12-02 01:00:00,Comfortable,Std,1174,0.525885512043
155,2012-12-02 01:00:00,Comfortable,ToU,322,0.355573198745
156,2012-12-02 02:00:00,Adversity,Std,1507,0.364352646546
157,2012-12-02 02:00:00,Adversity,ToU,296,0.231271607268
158,2012-12-02 02:00:00,Affluent,Std,1692,0.423427593143
159,2012-12-02 02:00:00,Affluent,ToU,486,0.402745627237
160,2012-12-02 02:00:00,Comfortable,Std,1174,0.414339307453
161,2012-12-02 02:00:00,Comfortable,ToU,322,0.279618778656
162,2012-12-02 03:00:00,Adversity,Std,1507,0.302938113095
163,2012-12-02 03:00:00,Adversity,ToU,296,0.198473432043
164,2012-12-02 03:00:00,Affluent,Std,1692,0.375506073998
165,2012-12-02 03:00:00,Affluent,ToU,486,0.363134130413
166,2012-12-02 03:00:00,Comfortable,Std,1174,0.332721742499
167,2012-12-02 03:00:00,Comfortable,ToU,322,0.269812666704
168,2012-12-02 04:00:00,Adversity,Std,1507,0.264480305251
169,2012-12-02 04:00:00,Adversity,ToU,296,0.192611969109
170,2012-12-02 04:00:00,Affluent,Std,1692,0.35946568402
171,2012-12-02 04:00:00,Affluent,ToU,486,0.328893786673
172,2012-12-02 04:00:00,Comfortable,Std,1174,0.298675610883
