DateTime,Acorn_grouped,stdorToU,N,nrg_cons
2011-12-01 16:00:00,Affluent,Std,27,0.425423075
2011-12-01 16:00:00,Affluent,ToU,6,0.2725
2011-12-01 16:00:00,Comfortable,Std,31,0.381013888889
2011-12-01 16:00:00,Comfortable,ToU,4,0.293166666666
2011-12-01 17:00:00,Adversity,Std,20,0.530216666667
2011-12-01 17:00:00,Adversity,ToU,4,0.422333333333
2011-12-01 17:00:00,Affluent,Std,27,0.433865384616
2011-12-01 17:00:00,Affluent,ToU,6,0.39725
2011-12-01 17:00:00,Comfortable,Std,31,0.510925925926
2011-12-01 17:00:00,Comfortable,ToU,4,0.225333333333
2011-12-01 18:00:00,Adversity,Std,20,0.304425
2011-12-01 18:00:00,Adversity,ToU,4,0.544666666667
2011-12-01 18:00:00,Affluent,Std,27,0.704384617308
2011-12-01 18:00:00,Affluent,ToU,6,0.597875
2011-12-01 18:00:00,Comfortable,Std,31,0.742736111111
2011-12-01 18:00:00,Comfortable,ToU,4,0.258333333333
2011-12-01 19:00:00,Adversity,Std,20,0.371116666667
2011-12-01 19:00:00,Adversity,ToU,4,0.586
2011-12-01 19:00:00,Affluent,Std,27,0.947538461539
2011-12-01 19:00:00,Affluent,ToU,6,1.283000025
2011-12-01 19:00:00,Comfortable,Std,31,0.613527777778
2011-12-01 19:00:00,Comfortable,ToU,4,0.344
2011-12-01 20:00:00,Adversity,Std,20,0.520616666667
2011-12-01 20:00:00,Adversity,ToU,4,0.314
2011-12-01 20:00:00,Affluent,Std,27,0.932153844231
2011-12-01 20:00:00,Affluent,ToU,6,0.961124975
2011-12-01 20:00:00,Comfortable,Std,31,0.866370370371
2011-12-01 20:00:00,Comfortable,ToU,4,0.282833333334
2011-12-01 21:00:00,Adversity,Std,20,0.659983333333
2011-12-01 21:00:00,Adversity,ToU,4,0.312333333333
2011-12-01 21:00:00,Affluent,Std,27,0.854038463462
2011-12-01 21:00:00,Affluent,ToU,6,1.057125
2011-12-01 21:00:00,Comfortable,Std,31,0.615861111111
2011-12-01 21:00:00,Comfortable,ToU,4,0.421833333334
2011-12-01 22:00:00,Adversity,Std,20,0.374283335
2011-12-01 22:00:00,Adversity,ToU,4,0.316166666667
2011-12-01 22:00:00,Affluent,Std,27,0.57
2011-12-01 22:00:00,Affluent,ToU,6,0.472625
2011-12-01 22:00:00,Comfortable,Std,31,0.588810185186
2011-12-01 22:00:00,Comfortable,ToU,4,0.472
2011-12-01 23:00:00,Adversity,Std,20,0.509941666666
2011-12-01 23:00:00,Adversity,ToU,4,0.404666666667
2011-12-01 23:00:00,Affluent,Std,27,0.44973076923
2011-12-01 23:00:00,Affluent,ToU,6,0.35675
2011-12-01 23:00:00,Comfortable,Std,31,0.66349075324
2011-12-01 23:00:00,Comfortable,ToU,4,0.405833333334
2011-12-02 00:00:00,Adversity,Std,20,0.459158333333
2011-12-02 00:00:00,Adversity,ToU,4,0.353
2011-12-02 00:00:00,Affluent,Std,27,0.569346153847
2011-12-02 00:00:00,Affluent,ToU,6,0.24
2011-12-02 00:00:00,Comfortable,Std,31,0.388574074074
2011-12-02 00:00:00,Comfortable,ToU,4,0.4335
2011-12-02 01:00:00,Adversity,Std,20,0.361141666667
2011-12-02 01:00:00,Adversity,ToU,4,0.175166666667
2011-12-02 01:00:00,Affluent,Std,27,0.521423076923
2011-12-02 01:00:00,Affluent,ToU,6,0.132375
2011-12-02 01:00:00,Comfortable,Std,31,0.307185185185
2011-12-02 01:00:00,Comfortable,ToU,4,0.247166666667
2011-12-02 02:00:00,Adversity,Std,20,0.18985
2011-12-02 02:00:00,Adversity,ToU,4,0.2175
2011-12-02 02:00:00,Affluent,Std,27,0.418384615385
2011-12-02 02:00:00,Affluent,ToU,6,0.13525
2011-12-02 02:00:00,Comfortable,Std,31,0.253726851852
2011-12-02 02:00:00,Comfortable,ToU,4,0.216666666667
2011-12-02 03:00:00,Adversity,Std,20,0.1597
2011-12-02 03:00:00,Adversity,ToU,4,0.171166666667
2011-12-02 03:00:00,Affluent,Std,27,0.323461538461
2011-12-02 03:00:00,Affluent,ToU,6,0.125
2011-12-02 03:00:00,Comfortable,Std,31,0.236805555556
2011-12-02 03:00:00,Comfortable,ToU,4,0.252166666667
2011-12-02 04:00:00,Adversity,Std,20,0.144133333333
2011-12-02 04:00:00,Adversity,ToU,4,0.435833333333
2011-12-02 04:00:00,Affluent,Std,27,0.304807692308
2011-12-02 04:00:00,Affluent,ToU,6,0.129625
2011-12-02 04:00:00,Comfortable,Std,31,0.15725462963
2011-12-02 04:00:00,Comfortable,ToU,4,0.146666666667
2011-12-02 05:00:00,Adversity,Std,20,0.133825
2011-12-02 05:00:00,Adversity,ToU,4,0.472333333333
2011-12-02 05:00:00,Affluent,Std,27,0.293692307693
2011-12-02 05:00:00,Affluent,ToU,6,0.110625
2011-12-02 05:00:00,Comfortable,Std,31,0.190916666667
2011-12-02 05:00:00,Comfortable,ToU,4,0.111
2011-12-02 06:00:00,Adversity,Std,20,0.145066666667
2011-12-02 06:00:00,Adversity,ToU,4,0.4395
2011-12-02 06:00:00,Affluent,Std,27,0.523961538462
2011-12-02 06:00:00,Affluent,ToU,6,0.163125
2011-12-02 06:00:00,Comfortable,Std,31,0.241439812963
2011-12-02 06:00:00,Comfortable,ToU,4,0.175166666666
2011-12-02 07:00:00,Adversity,Std,20,0.273791666667
2011-12-02 07:00:00,Adversity,ToU,4,0.251
2011-12-02 07:00:00,Affluent,Std,27,0.855153846154
2011-12-02 07:00:00,Affluent,ToU,6,0.136125
2011-12-02 07:00:00,Comfortable,Std,31,0.252328705556
2011-12-02 07:00:00,Comfortable,ToU,4,0.225833333333
2011-12-02 08:00:00,Adversity,Std,20,0.289541666667
2011-12-02 08:00:00,Adversity,ToU,4,0.270166666667
2011-12-02 08:00:00,Affluent,Std,27,0.910673076923
2011-12-02 08:00:00,Affluent,ToU,6,0.24825
2011-12-02 08:00:00,Comfortable,Std,31,0.427236112963
2011-12-02 08:00:00,Comfortable,ToU,4,0.218333333334
2011-12-02 09:00:00,Adversity,Std,20,0.377541666667
2011-12-02 09:00:00,Adversity,ToU,4,0.362833333333
2011-12-02 09:00:00,Affluent,Std,27,0.409442307693
2011-12-02 09:00:00,Affluent,ToU,6,0.705
2011-12-02 09:00:00,Comfortable,Std,31,0.480212962963
2011-12-02 09:00:00,Comfortable,ToU,4,0.258
2011-12-02 10:00:00,Adversity,Std,20,0.298866666667
2011-12-02 10:00:00,Adversity,ToU,4,0.200833333333
2011-12-02 10:00:00,Affluent,Std,27,0.510057694231
2011-12-02 10:00:00,Affluent,ToU,6,0.740500025
2011-12-02 10:00:00,Comfortable,Std,34,0.442625591616
2011-12-02 10:00:00,Comfortable,ToU,4,0.201666666667
2011-12-02 11:00:00,Adversity,Std,20,0.22965
2011-12-02 11:00:00,Adversity,ToU,4,0.147666666667
2011-12-02 11:00:00,Affluent,Std,28,0.457111109259
2011-12-02 11:00:00,Affluent,ToU,6,0.510625
2011-12-02 11:00:00,Comfortable,Std,36,0.347698019323
2011-12-02 11:00:00,Comfortable,ToU,4,0.245166666666
2011-12-02 12:00:00,Adversity,Std,20,0.522
2011-12-02 12:00:00,Adversity,ToU,4,0.141333333333
2011-12-02 12:00:00,Affluent,Std,28,0.450833335185
2011-12-02 12:00:00,Affluent,ToU,6,0.386875
2011-12-02 12:00:00,Comfortable,Std,37,0.330873408893
2011-12-02 12:00:00,Comfortable,ToU,4,0.191666666667
2011-12-02 13:00:00,Adversity,Std,20,0.58075
2011-12-02 13:00:00,Adversity,ToU,4,0.3
2011-12-02 13:00:00,Affluent,Std,28,0.409111112963
2011-12-02 13:00:00,Affluent,ToU,6,0.337625
2011-12-02 13:00:00,Comfortable,Std,37,0.278810753764
2011-12-02 13:00:00,Comfortable,ToU,4,0.269833333334
2011-12-02 14:00:00,Adversity,Std,21,0.4312
2011-12-02 14:00:00,Adversity,ToU,4,0.433833333333
2011-12-02 14:00:00,Affluent,Std,28,0.435796296297
2011-12-02 14:00:00,Affluent,ToU,6,0.265375
2011-12-02 14:00:00,Comfortable,Std,37,0.324898923656
2011-12-02 14:00:00,Comfortable,ToU,4,0.251666666667
2011-12-02 15:00:00,Adversity,Std,21,0.452200001667
2011-12-02 15:00:00,Adversity,ToU,4,0.4565
2011-12-02 15:00:00,Affluent,Std,28,0.444222222222
2011-12-02 15:00:00,Affluent,ToU,6,0.205875
2011-12-02 15:00:00,Comfortable,Std,37,0.314855913978
2011-12-02 15:00:00,Comfortable,ToU,4,0.379333333333
2011-12-02 16:00:00,Adversity,Std,21,0.593958335
2011-12-02 16:00:00,Adversity,ToU,4,0.460166666667
2011-12-02 16:00:00,Affluent,Std,28,0.463
2011-12-02 16:00:00,Affluent,ToU,6,0.162125
2011-12-02 16:00:00,Comfortable,Std,37,0.328901074194
2011-12-02 16:00:00,Comfortable,ToU,4,0.192166666667
2011-12-02 17:00:00,Adversity,Std,21,0.701283333333
2011-12-02 17:00:00,Adversity,ToU,4,0.582166666667
2011-12-02 17:00:00,Affluent,Std,28,0.464462962963
2011-12-02 17:00:00,Affluent,ToU,6,0.2395
2011-12-02 17:00:00,Comfortable,Std,37,0.384165591398
2011-12-02 17:00:00,Comfortable,ToU,4,0.170166666666
2011-12-02 18:00:00,Adversity,Std,21,0.747274998333
2011-12-02 18:00:00,Adversity,ToU,4,0.620166666667
2011-12-02 18:00:00,Affluent,Std,28,1.05844444444
2011-12-02 18:00:00,Affluent,ToU,6,0.27475
2011-12-02 18:00:00,Comfortable,Std,37,0.503825806452
2011-12-02 18:00:00,Comfortable,ToU,4,0.199166666666
2011-12-02 19:00:00,Adversity,Std,21,0.78446667
2011-12-02 19:00:00,Adversity,ToU,4,0.701
2011-12-02 19:00:00,Affluent,Std,28,0.909962962963
2011-12-02 19:00:00,Affluent,ToU,6,0.3745
2011-12-02 19:00:00,Comfortable,Std,37,0.568552687097
2011-12-02 19:00:00,Comfortable,ToU,4,0.564666666667
2011-12-02 20:00:00,Adversity,Std,21,0.667000001667
2011-12-02 20:00:00,Adversity,ToU,4,0.729166666667
2011-12-02 20:00:00,Affluent,Std,28,0.969999998148
2011-12-02 20:00:00,Affluent,ToU,6,0.413125
2011-12-02 20:00:00,Comfortable,Std,37,0.540419354839
2011-12-02 20:00:00,Comfortable,ToU,4,0.480166666667
2011-12-02 21:00:00,Adversity,Std,21,0.672641668333
2011-12-02 21:00:00,Adversity,ToU,4,0.717666666667
2011-12-02 21:00:00,Affluent,Std,28,1.12957407407
2011-12-02 21:00:00,Affluent,ToU,6,0.3305
2011-12-02 21:00:00,Comfortable,Std,37,0.552507526882
2011-12-02 21:00:00,Comfortable,ToU,4,0.3595
2011-12-02 22:00:00,Adversity,Std,21,0.753608333333
2011-12-02 22:00:00,Adversity,ToU,4,0.731
2011-12-02 22:00:00,Affluent,Std,28,0.893000001852
2011-12-02 22:00:00,Affluent,ToU,6,0.294375
2011-12-02 22:00:00,Comfortable,Std,37,0.622221505376
2011-12-02 22:00:00,Comfortable,ToU,4,0.3925
