,nrg_cons,nrg_cons,nrg_cons
Acorn_grouped,Adversity,Affluent,Comfortable
DateTime,,,
2013-12-01 00:30:00,0.181095011817,0.255295213602,0.207193342493
2013-12-01 01:00:00,0.163202493943,0.223506297078,0.175998583428
2013-12-01 01:30:00,0.14587826633,0.195605037733,0.157086402195
2013-12-01 02:00:00,0.132853325237,0.181479093048,0.140257082224
2013-12-01 02:30:00,0.120699524881,0.174701259849,0.132327195326
2013-12-01 03:00:00,0.113021971437,0.162780856474,0.123010623229
2013-12-01 03:30:00,0.10801840861,0.154469017481,0.120733002833
2013-12-01 04:00:00,0.105351543884,0.147713350025,0.116757082224
2013-12-01 04:30:00,0.104052850416,0.147686145944,0.118696883994
2013-12-01 05:00:00,0.101763064074,0.147287657783,0.119136685552
2013-12-01 05:30:00,0.102378265855,0.149789420756,0.121854107436
2013-12-01 06:00:00,0.105483372862,0.153781863778,0.126974504249
2013-12-01 06:30:00,0.116548693705,0.165730478942,0.143334985978
2013-12-01 07:00:00,0.122788598456,0.174276574257,0.152317988739
2013-12-01 07:30:00,0.135979810333,0.18973891124,0.175358356728
2013-12-01 08:00:00,0.156719121259,0.224541561108,0.195716714022
2013-12-01 08:30:00,0.181489905166,0.251598992292,0.229573654533
2013-12-01 09:00:00,0.200179928622,0.292606854788,0.254625353754
2013-12-01 09:30:00,0.213781472981,0.298164314818,0.267444759419
2013-12-01 10:00:00,0.22926484614,0.301414314214,0.275878895467
2013-12-01 10:30:00,0.233270189667,0.301348790373,0.283873229249
2013-12-01 11:00:00,0.23053800481,0.297732863155,0.286164305666
2013-12-01 11:30:00,0.236276128504,0.298274331568,0.290096317351
2013-12-01 12:00:00,0.247346199822,0.310102318195,0.296281161331
2013-12-01 12:30:00,0.246861045427,0.313967741532,0.293179178612
2013-12-01 13:00:00,0.25517102114,0.315075604637,0.301410057082
2013-12-01 13:30:00,0.263238123753,0.322427923236,0.307363314731
2013-12-01 14:00:00,0.25476306437,0.316135217255,0.302657932153
2013-12-01 14:30:00,0.248443586698,0.307982862903,0.298303115794
2013-12-01 15:00:00,0.236334323278,0.29945133646,0.285451841572
2013-12-01 15:30:00,0.24305225671,0.299519153125,0.302549575495
2013-12-01 16:00:00,0.253566508135,0.316405241885,0.315190510127
2013-12-01 16:30:00,0.283426959323,0.349574597027,0.352436260765
2013-12-01 17:00:00,0.30847443478,0.394802319516,0.381293909348
2013-12-01 17:30:00,0.322358669656,0.431803931804,0.410567280737
2013-12-01 18:00:00,0.317165676722,0.449347103073,0.400504957649
2013-12-01 18:30:00,0.319439429691,0.473537531687,0.405433026364
2013-12-01 19:00:00,0.317005344359,0.488950630378,0.397366406804
2013-12-01 19:30:00,0.308743467993,0.478516372846,0.382344436428
2013-12-01 20:00:00,0.287776722387,0.457235264836,0.372279943302
2013-12-01 20:30:00,0.287048722103,0.433618639446,0.355518780581
2013-12-01 21:00:00,0.274011883601,0.409982367859,0.331339475124
2013-12-01 21:30:00,0.264191324896,0.38200201466,0.331432011331
2013-12-01 22:00:00,0.251257872727,0.370305793753,0.314532577125
2013-12-01 22:30:00,0.233417706477,0.344591435668,0.293970255028
2013-12-01 23:00:00,0.204249554427,0.309648362519,0.254611190014
2013-12-01 23:30:00,0.181704694117,0.260141561713,0.214694759419
2013-12-02 00:00:00,0.187705882472,0.249169772796,0.202481586261
2013-12-02 00:30:00,0.167024332226,0.220137670196,0.174534751773
2013-12-02 01:00:00,0.145956082967,0.190635400807,0.151790071135
2013-12-02 01:30:00,0.130335905104,0.172071608775,0.133191489362
2013-12-02 02:00:00,0.11802967365,0.158271810489,0.12405744688
2013-12-02 02:30:00,0.112531750682,0.153792738326,0.117192198794
2013-12-02 03:00:00,0.10299050451,0.147473524962,0.111711347447
2013-12-02 03:30:00,0.0983020772107,0.146268784771,0.10864539
2013-12-02 04:00:00,0.0982106824926,0.140887039788,0.10734255312
2013-12-02 04:30:00,0.0980801187536,0.138048411195,0.105981560213
2013-12-02 05:00:00,0.098411275905,0.139462935149,0.111609219787
2013-12-02 05:30:00,0.105775667774,0.147587493596,0.118973758865
2013-12-02 06:00:00,0.11481958457,0.154959657236,0.136431205745
2013-12-02 06:30:00,0.131016617092,0.185116994756,0.162495035532
2013-12-02 07:00:00,0.158959644154,0.215543116742,0.192004964184
2013-12-02 07:30:00,0.179193471988,0.267449319062,0.229225531702
2013-12-02 08:00:00,0.193925816083,0.289511604188,0.245480851206
2013-12-02 08:30:00,0.194783848159,0.290139687594,0.242580851206
2013-12-02 09:00:00,0.181381235095,0.282713061069,0.23180780156
2013-12-02 09:30:00,0.179956083086,0.264676752345,0.217786524681
2013-12-02 10:00:00,0.183664688605,0.260541099344,0.21658014156
2013-12-02 10:30:00,0.175632640772,0.260433905449,0.219678014468
2013-12-02 11:00:00,0.171342433175,0.257223511705,0.206527659291
2013-12-02 11:30:00,0.1705376854,0.241741170181,0.210207091915
2013-12-02 12:00:00,0.181151335549,0.249268920636,0.207145389929
2013-12-02 12:30:00,0.185605341068,0.263168011958,0.221589361915
2013-12-02 13:00:00,0.184582789495,0.261279011352,0.214620567659
2013-12-02 13:30:00,0.180167359169,0.2606049444,0.206336879716
2013-12-02 14:00:00,0.177084866291,0.256664985368,0.215577304823
2013-12-02 14:30:00,0.180359643798,0.259041372402,0.219603546028
2013-12-02 15:00:00,0.177232047596,0.257361755752,0.223182269291
2013-12-02 15:30:00,0.189621364866,0.262517920343,0.235500709007
2013-12-02 16:00:00,0.211760237389,0.28116389294,0.254921276667
