,DateTime,Adversity,Affluent,Comfortable,Overall
1904,2012-03-20 08:00:00,0.420011406464,0.497348275862,0.420202703153,0.462169014084
1905,2012-03-20 09:00:00,0.402904943726,0.510434482759,0.405560538116,0.461966229081
1906,2012-03-20 10:00:00,0.356845283019,0.470578767123,0.375040359193,0.422589552332
1907,2012-03-20 11:00:00,0.332007518797,0.422427597445,0.354383927678,0.385943360724
1908,2012-03-20 12:00:00,0.346966292509,0.415789115987,0.342115044691,0.383387604441
1909,2012-03-20 13:00:00,0.351393258427,0.456719864517,0.341911894273,0.406688827517
1910,2012-03-20 14:00:00,0.338374531461,0.412001694746,0.323674008811,0.375369926015
1911,2012-03-20 15:00:00,0.333277153183,0.401400338513,0.304748898679,0.364449355709
1912,2012-03-20 16:00:00,0.337981273034,0.422471284122,0.351233480617,0.386808471639
1913,2012-03-20 17:00:00,0.388029962172,0.439773648311,0.428947137445,0.424789134346
1914,2012-03-20 18:00:00,0.462531835206,0.520839528209,0.476986785463,0.497337938306
1915,2012-03-20 19:00:00,0.556003746442,0.717197636149,0.62839647533,0.659005525599
1916,2012-03-20 20:00:00,0.588595505618,0.825015203209,0.618400882379,0.723702578821
1917,2012-03-20 21:00:00,0.5930711603,0.75656080946,0.600581498679,0.683762430203
1918,2012-03-20 22:00:00,0.523782771535,0.693332771284,0.530030837445,0.617513812799
1919,2012-03-20 23:00:00,0.438273407865,0.606581080236,0.460202642731,0.534604971731
1920,2012-03-21 00:00:00,0.319314607116,0.449383445946,0.318585903084,0.390065377624
1921,2012-03-21 01:00:00,0.663921350937,0.507238176182,0.450585903524,0.533918048895
1922,2012-03-21 02:00:00,0.475385767041,0.395331081757,0.347775329956,0.405072744107
1923,2012-03-21 03:00:00,0.353565543446,0.330527027871,0.265224669163,0.322541436924
1924,2012-03-21 04:00:00,0.278026217603,0.305412162669,0.228515418062,0.282605893462
1925,2012-03-21 05:00:00,0.258670412734,0.297820946453,0.213528634802,0.270576427809
1926,2012-03-21 06:00:00,0.259220973783,0.327165540372,0.234995594714,0.291195211695
1927,2012-03-21 07:00:00,0.365981271161,0.443601350845,0.337511013216,0.402342540608
1928,2012-03-21 08:00:00,0.396573032584,0.518518579899,0.407211454185,0.465271638214
1929,2012-03-21 09:00:00,0.405649252612,0.518236087859,0.409834061135,0.467779816331
1930,2012-03-21 10:00:00,0.367592592592,0.461406722689,0.382635193133,0.421622040073
1931,2012-03-21 11:00:00,0.32304797048,0.448147158027,0.348394850214,0.396292196552
1932,2012-03-21 12:00:00,0.32978388315,0.39156572396,0.345055792704,0.366540198645
1933,2012-03-21 13:00:00,0.318846715329,0.399049750912,0.377442060515,0.374716216126
1934,2012-03-21 14:00:00,0.301729927007,0.391207297347,0.322175966094,0.35462973009
1935,2012-03-21 15:00:00,0.303510869566,0.397913906623,0.352837606837,0.365056552604
1936,2012-03-21 16:00:00,0.318509025993,0.398829751736,0.320260683761,0.362419354839
1937,2012-03-21 17:00:00,0.379249097112,0.434474380496,0.397042735042,0.412918458871
1938,2012-03-21 18:00:00,0.428823105054,0.478469420991,0.453226494872,0.460853942294
1939,2012-03-21 19:00:00,0.532418773285,0.719657848925,0.56704700812,0.641184586648
1940,2012-03-21 20:00:00,0.564527076895,0.767925621488,0.611465811539,0.684634409678
1941,2012-03-21 21:00:00,0.536837545487,0.733928925289,0.610337607265,0.659094982079
1942,2012-03-21 22:00:00,0.486404332491,0.698333884959,0.556700854274,0.616034050538
1943,2012-03-21 23:00:00,0.442509025271,0.609365288595,0.451025641025,0.534749999641
1944,2012-03-22 00:00:00,0.340841154513,0.457841321488,0.342282051709,0.404570787993
1945,2012-03-22 01:00:00,0.645277977257,0.506302478347,0.448782051282,0.528736558333
1946,2012-03-22 02:00:00,0.450877254152,0.399223140496,0.321363248718,0.395718637635
1947,2012-03-22 03:00:00,0.321259926715,0.324727273223,0.255440170086,0.309338709498
1948,2012-03-22 04:00:00,0.275241878339,0.278547107438,0.212816239316,0.263944444713
1949,2012-03-22 05:00:00,0.238296029242,0.280543801157,0.205478632479,0.254318100179
1950,2012-03-22 06:00:00,0.267187725632,0.315864462975,0.260354700427,0.292143369175
1951,2012-03-22 07:00:00,0.35689530722,0.430024792892,0.318564102137,0.388502687903
1952,2012-03-22 08:00:00,0.389451263538,0.519031404628,0.412444444444,0.464519713082
1953,2012-03-22 09:00:00,0.381881294245,0.48948844835,0.367208510639,0.437075066578
1954,2012-03-22 10:00:00,0.357500000714,0.424163366172,0.373940425532,0.396983942997
1955,2012-03-22 11:00:00,0.288144876678,0.413539473684,0.361644067797,0.371184560869
1956,2012-03-22 12:00:00,0.317646642756,0.381145424673,0.342182202966,0.357126436516
1957,2012-03-22 13:00:00,0.325466431449,0.388446808511,0.375396624472,0.369953138904
1958,2012-03-22 14:00:00,0.311844522968,0.39706535915,0.357146443096,0.367384479453
1959,2012-03-22 15:00:00,0.298633803169,0.399433930832,0.302861924268,0.353916372887
1960,2012-03-22 16:00:00,0.33,0.396990228664,0.315075313808,0.363038698681
1961,2012-03-22 17:00:00,0.386669014437,0.439167751791,0.405292886611,0.418934036587
