DateTime,Acorn_grouped,N,nrg_cons
2012-01-02 10:00:00,Adversity,125,0.461984
2012-01-02 10:00:00,Affluent,167,0.520473053892
2012-01-02 10:00:00,Comfortable,114,0.452719297368
2012-01-02 11:00:00,Adversity,125,0.5647359984
2012-01-02 11:00:00,Affluent,167,0.574
2012-01-02 11:00:00,Comfortable,114,0.505105264912
2012-01-02 12:00:00,Adversity,125,0.5287280008
2012-01-02 12:00:00,Affluent,167,0.62671257485
2012-01-02 12:00:00,Comfortable,114,0.544710523684
2012-01-02 13:00:00,Adversity,125,0.591024
2012-01-02 13:00:00,Affluent,167,0.598185628743
2012-01-02 13:00:00,Comfortable,114,0.508526317544
2012-01-02 14:00:00,Adversity,125,0.5271999992
2012-01-02 14:00:00,Affluent,167,0.600443113174
2012-01-02 14:00:00,Comfortable,114,0.535543859649
2012-01-02 15:00:00,Adversity,125,0.5231920008
2012-01-02 15:00:00,Affluent,167,0.664335329941
2012-01-02 15:00:00,Comfortable,114,0.552649126316
2012-01-02 16:00:00,Adversity,125,0.52072
2012-01-02 16:00:00,Affluent,167,0.672455092215
2012-01-02 16:00:00,Comfortable,114,0.508421052632
2012-01-02 17:00:00,Adversity,125,0.6284480008
2012-01-02 17:00:00,Affluent,167,0.778233534731
2012-01-02 17:00:00,Comfortable,114,0.607508773684
2012-01-02 18:00:00,Adversity,125,0.7246959984
2012-01-02 18:00:00,Affluent,167,0.929999996407
2012-01-02 18:00:00,Comfortable,114,0.664991226316
2012-01-02 19:00:00,Adversity,125,0.773792
2012-01-02 19:00:00,Affluent,167,0.934700599401
2012-01-02 19:00:00,Comfortable,114,0.767903510526
2012-01-02 20:00:00,Adversity,125,0.7475600016
2012-01-02 20:00:00,Affluent,167,0.936221555688
2012-01-02 20:00:00,Comfortable,114,0.730570177193
2012-01-02 21:00:00,Adversity,125,0.6646879976
2012-01-02 21:00:00,Affluent,167,0.872389221557
2012-01-02 21:00:00,Comfortable,114,0.632973683333
2012-01-02 22:00:00,Adversity,125,0.6500959992
2012-01-02 22:00:00,Affluent,167,0.820964068263
2012-01-02 22:00:00,Comfortable,114,0.664201750877
2012-01-02 23:00:00,Adversity,125,0.5348400008
2012-01-02 23:00:00,Affluent,167,0.721000001797
2012-01-02 23:00:00,Comfortable,114,0.538017542983
2012-01-03 00:00:00,Adversity,125,0.4718559992
2012-01-03 00:00:00,Affluent,167,0.570083831137
2012-01-03 00:00:00,Comfortable,114,0.380552631579
2012-01-03 01:00:00,Adversity,125,0.528872
2012-01-03 01:00:00,Affluent,167,0.594245509581
2012-01-03 01:00:00,Comfortable,114,0.334824562281
2012-01-03 02:00:00,Adversity,125,0.4434160032
2012-01-03 02:00:00,Affluent,167,0.477910180239
2012-01-03 02:00:00,Comfortable,114,0.256245614036
2012-01-03 03:00:00,Adversity,125,0.3642160016
2012-01-03 03:00:00,Affluent,167,0.392748501796
2012-01-03 03:00:00,Comfortable,114,0.219771929824
2012-01-03 04:00:00,Adversity,123,0.284609755284
2012-01-03 04:00:00,Affluent,159,0.352283020126
2012-01-03 04:00:00,Comfortable,101,0.202326732673
2012-01-03 05:00:00,Adversity,125,0.307232
2012-01-03 05:00:00,Affluent,167,0.30913772455
2012-01-03 05:00:00,Comfortable,114,0.211535086842
2012-01-03 06:00:00,Adversity,125,0.313408
2012-01-03 06:00:00,Affluent,167,0.329413173054
2012-01-03 06:00:00,Comfortable,114,0.254552632456
2012-01-03 07:00:00,Adversity,125,0.4023200024
2012-01-03 07:00:00,Affluent,167,0.48884431018
2012-01-03 07:00:00,Comfortable,114,0.314780702632
2012-01-03 08:00:00,Adversity,125,0.394912
2012-01-03 08:00:00,Affluent,167,0.476976046707
2012-01-03 08:00:00,Comfortable,114,0.417359648245
2012-01-03 09:00:00,Adversity,125,0.472888
2012-01-03 09:00:00,Affluent,167,0.49240718503
2012-01-03 09:00:00,Comfortable,114,0.435105261403
2012-01-03 10:00:00,Adversity,125,0.507952
2012-01-03 10:00:00,Affluent,168,0.5475297625
2012-01-03 10:00:00,Comfortable,115,0.408947826087
2012-01-03 11:00:00,Adversity,126,0.463825397619
2012-01-03 11:00:00,Affluent,169,0.566325442603
2012-01-03 11:00:00,Comfortable,115,0.418443478261
2012-01-03 12:00:00,Adversity,127,0.477566929134
2012-01-03 12:00:00,Affluent,170,0.564294118235
2012-01-03 12:00:00,Comfortable,115,0.470339130435
2012-01-03 13:00:00,Adversity,127,0.55063779685
2012-01-03 13:00:00,Affluent,170,0.684470588235
2012-01-03 13:00:00,Comfortable,116,0.442431033621
2012-01-03 14:00:00,Adversity,127,0.563314959842
2012-01-03 14:00:00,Affluent,170,0.625941174706
2012-01-03 14:00:00,Comfortable,116,0.452344827586
2012-01-03 15:00:00,Adversity,127,0.520543305512
2012-01-03 15:00:00,Affluent,170,0.617200001177
2012-01-03 15:00:00,Comfortable,116,0.396232758621
2012-01-03 16:00:00,Adversity,127,0.566228348031
2012-01-03 16:00:00,Affluent,170,0.649735293529
2012-01-03 16:00:00,Comfortable,116,0.425249999138
2012-01-03 17:00:00,Adversity,127,0.625275589764
2012-01-03 17:00:00,Affluent,170,0.756441178235
2012-01-03 17:00:00,Comfortable,116,0.56824137931
2012-01-03 18:00:00,Adversity,127,0.78015747874
2012-01-03 18:00:00,Affluent,170,0.858729412353
2012-01-03 18:00:00,Comfortable,116,0.674646552587
2012-01-03 19:00:00,Adversity,127,0.81666141496
2012-01-03 19:00:00,Affluent,170,0.972217644706
2012-01-03 19:00:00,Comfortable,116,0.6215
2012-01-03 20:00:00,Adversity,127,0.750519686614
2012-01-03 20:00:00,Affluent,170,0.974029410589
2012-01-03 20:00:00,Comfortable,116,0.679577586207
2012-01-03 21:00:00,Adversity,127,0.688574802362
2012-01-03 21:00:00,Affluent,170,0.870770585882
2012-01-03 21:00:00,Comfortable,116,0.620655172414
2012-01-03 22:00:00,Adversity,127,0.757803150394
2012-01-03 22:00:00,Affluent,170,0.810117647647
2012-01-03 22:00:00,Comfortable,116,0.567224137931
2012-01-03 23:00:00,Adversity,127,0.588771653543
2012-01-03 23:00:00,Affluent,170,0.75758235353
2012-01-03 23:00:00,Comfortable,116,0.448698275862
2012-01-04 00:00:00,Adversity,127,0.485937006299
2012-01-04 00:00:00,Affluent,170,0.56007647
2012-01-04 00:00:00,Comfortable,116,0.338396551724
2012-01-04 01:00:00,Adversity,127,0.574236219685
2012-01-04 01:00:00,Affluent,170,0.586376470589
2012-01-04 01:00:00,Comfortable,116,0.296586207759
2012-01-04 02:00:00,Adversity,127,0.419811023622
2012-01-04 02:00:00,Affluent,170,0.46500588
2012-01-04 02:00:00,Comfortable,116,0.245637930172
2012-01-04 03:00:00,Adversity,127,0.345614172441
2012-01-04 03:00:00,Affluent,170,0.388882355294
2012-01-04 03:00:00,Comfortable,116,0.182051724138
2012-01-04 04:00:00,Adversity,127,0.309480315748
2012-01-04 04:00:00,Affluent,170,0.331605881765
2012-01-04 04:00:00,Comfortable,116,0.173801724138
2012-01-04 05:00:00,Adversity,127,0.358173227559
2012-01-04 05:00:00,Affluent,170,0.32027647
2012-01-04 05:00:00,Comfortable,116,0.226499999138
2012-01-04 06:00:00,Adversity,127,0.359779529133
2012-01-04 06:00:00,Affluent,170,0.33472353
2012-01-04 06:00:00,Comfortable,116,0.249379310345
2012-01-04 07:00:00,Adversity,127,0.439307086614
2012-01-04 07:00:00,Affluent,170,0.471470588824
2012-01-04 07:00:00,Comfortable,116,0.326422413793
2012-01-04 08:00:00,Adversity,127,0.498000000787
2012-01-04 08:00:00,Affluent,170,0.488029412354
2012-01-04 08:00:00,Comfortable,116,0.384172413793
2012-01-04 09:00:00,Adversity,127,0.530488188189
2012-01-04 09:00:00,Affluent,170,0.49021764647
2012-01-04 09:00:00,Comfortable,116,0.415913792241
2012-01-04 10:00:00,Adversity,127,0.507629920472
2012-01-04 10:00:00,Affluent,170,0.494676468236
2012-01-04 10:00:00,Comfortable,116,0.411112067241
2012-01-04 11:00:00,Adversity,128,0.466781249218
2012-01-04 11:00:00,Affluent,170,0.506917647648
2012-01-04 11:00:00,Comfortable,116,0.359499999138
2012-01-04 12:00:00,Adversity,128,0.470515625
2012-01-04 12:00:00,Affluent,170,0.513123528235
2012-01-04 12:00:00,Comfortable,116,0.390974137931
2012-01-04 13:00:00,Adversity,128,0.515085938281
2012-01-04 13:00:00,Affluent,170,0.564258822353
2012-01-04 13:00:00,Comfortable,116,0.447025861207
2012-01-04 14:00:00,Adversity,128,0.4696328125
2012-01-04 14:00:00,Affluent,171,0.60288304386
2012-01-04 14:00:00,Comfortable,116,0.416646550862
2012-01-04 15:00:00,Adversity,128,0.485734375
2012-01-04 15:00:00,Affluent,171,0.597807016959
2012-01-04 15:00:00,Comfortable,116,0.405672413793
2012-01-04 16:00:00,Adversity,128,0.488335936719
2012-01-04 16:00:00,Affluent,171,0.666105261404
2012-01-04 16:00:00,Comfortable,116,0.430767242241
2012-01-04 17:00:00,Adversity,128,0.6596640625
2012-01-04 17:00:00,Affluent,171,0.816228071345
2012-01-04 17:00:00,Comfortable,116,0.540603448276
2012-01-04 18:00:00,Adversity,128,0.752617189063
2012-01-04 18:00:00,Affluent,171,0.886590643275
2012-01-04 18:00:00,Comfortable,116,0.654784483621
2012-01-04 19:00:00,Adversity,128,0.754429688281
2012-01-04 19:00:00,Affluent,171,0.981578947369
2012-01-04 19:00:00,Comfortable,116,0.748844828448
2012-01-04 20:00:00,Adversity,128,0.751398438281
2012-01-04 20:00:00,Affluent,171,1.02122807193
2012-01-04 20:00:00,Comfortable,116,0.692112068965
2012-01-04 21:00:00,Adversity,127,0.77763779685
2012-01-04 21:00:00,Affluent,171,0.974649122807
2012-01-04 21:00:00,Comfortable,116,0.69514655431
2012-01-04 22:00:00,Adversity,128,0.688953125
2012-01-04 22:00:00,Affluent,171,0.828719297076
2012-01-04 22:00:00,Comfortable,116,0.559577586206
2012-01-04 23:00:00,Adversity,128,0.576875000782
2012-01-04 23:00:00,Affluent,171,0.760847954971
2012-01-04 23:00:00,Comfortable,116,0.470094825862
2012-01-05 00:00:00,Adversity,128,0.466187502344
2012-01-05 00:00:00,Affluent,171,0.586333333334
2012-01-05 00:00:00,Comfortable,116,0.336094827586
2012-01-05 01:00:00,Adversity,127,0.578425199213
2012-01-05 01:00:00,Affluent,171,0.585684208187
2012-01-05 01:00:00,Comfortable,116,0.321413793103
2012-01-05 02:00:00,Adversity,127,0.406165352755
2012-01-05 02:00:00,Affluent,171,0.474333334503
2012-01-05 02:00:00,Comfortable,116,0.258844828448
2012-01-05 03:00:00,Adversity,127,0.34828346378
2012-01-05 03:00:00,Affluent,171,0.443584794736
2012-01-05 03:00:00,Comfortable,116,0.21550862069
2012-01-05 04:00:00,Adversity,126,0.282492063492
2012-01-05 04:00:00,Affluent,171,0.409842105848
2012-01-05 04:00:00,Comfortable,116,0.189784482759
2012-01-05 05:00:00,Adversity,127,0.315244094488
2012-01-05 05:00:00,Affluent,171,0.35959064269
2012-01-05 05:00:00,Comfortable,116,0.221974137931
2012-01-05 06:00:00,Adversity,127,0.326740156693
2012-01-05 06:00:00,Affluent,171,0.40698245731
2012-01-05 06:00:00,Comfortable,116,0.255474137931
2012-01-05 07:00:00,Adversity,127,0.40251968504
2012-01-05 07:00:00,Affluent,171,0.465982457894
2012-01-05 07:00:00,Comfortable,116,0.330853448276
2012-01-05 08:00:00,Adversity,127,0.564188977165
2012-01-05 08:00:00,Affluent,171,0.497883040935
2012-01-05 08:00:00,Comfortable,116,0.433896551724
2012-01-05 09:00:00,Adversity,127,0.514015748031
2012-01-05 09:00:00,Affluent,171,0.557847952632
2012-01-05 09:00:00,Comfortable,116,0.483025861207
2012-01-05 10:00:00,Adversity,127,0.481503935433
2012-01-05 10:00:00,Affluent,171,0.51140935614
2012-01-05 10:00:00,Comfortable,116,0.378198275862
2012-01-05 11:00:00,Adversity,127,0.472551181103
2012-01-05 11:00:00,Affluent,172,0.539848837791
2012-01-05 11:00:00,Comfortable,116,0.397706896552
2012-01-05 12:00:00,Adversity,127,0.414464566929
2012-01-05 12:00:00,Affluent,172,0.561337209884
2012-01-05 12:00:00,Comfortable,116,0.378034483621
2012-01-05 13:00:00,Adversity,127,0.466165355905
2012-01-05 13:00:00,Affluent,172,0.568232558721
2012-01-05 13:00:00,Comfortable,116,0.488577584482
2012-01-05 14:00:00,Adversity,127,0.496047241732
2012-01-05 14:00:00,Affluent,172,0.581837209302
2012-01-05 14:00:00,Comfortable,116,0.447663793104
2012-01-05 15:00:00,Adversity,127,0.47888976378
2012-01-05 15:00:00,Affluent,172,0.640901163954
2012-01-05 15:00:00,Comfortable,116,0.398422414655
2012-01-05 16:00:00,Adversity,127,0.514149607087
2012-01-05 16:00:00,Affluent,172,0.641825581395
2012-01-05 16:00:00,Comfortable,116,0.397965516379
2012-01-05 17:00:00,Adversity,127,0.712566929134
2012-01-05 17:00:00,Affluent,172,0.746645351162
2012-01-05 17:00:00,Comfortable,116,0.519198278448
2012-01-05 18:00:00,Adversity,127,0.840700785039
2012-01-05 18:00:00,Affluent,172,0.845424417442
2012-01-05 18:00:00,Comfortable,116,0.648724138793
2012-01-05 19:00:00,Adversity,127,0.807291337008
2012-01-05 19:00:00,Affluent,172,0.987308139535
2012-01-05 19:00:00,Comfortable,116,0.763896552586
2012-01-05 20:00:00,Adversity,127,0.747645667717
2012-01-05 20:00:00,Affluent,172,1.01381395581
2012-01-05 20:00:00,Comfortable,116,0.724086208621
2012-01-05 21:00:00,Adversity,127,0.677062992126
2012-01-05 21:00:00,Affluent,172,0.926656975581
2012-01-05 21:00:00,Comfortable,116,0.668982758621
2012-01-05 22:00:00,Adversity,127,0.649984251969
2012-01-05 22:00:00,Affluent,172,0.815860463373
2012-01-05 22:00:00,Comfortable,116,0.579896551724
2012-01-05 23:00:00,Adversity,127,0.503456692126
2012-01-05 23:00:00,Affluent,172,0.711069767442
