MAC003640,Std,12/2/13 16:00,1.273,ACORN-L,Adversity
MAC003640,Std,12/2/13 16:30,0.35,ACORN-L,Adversity
MAC003640,Std,12/2/13 17:00,0.598,ACORN-L,Adversity
MAC003640,Std,12/2/13 17:30,0.375,ACORN-L,Adversity
MAC003640,Std,12/2/13 18:00,0.599,ACORN-L,Adversity
MAC003640,Std,12/2/13 18:30,0.847,ACORN-L,Adversity
MAC003640,Std,12/2/13 19:00,0.471,ACORN-L,Adversity
MAC003640,Std,12/2/13 19:30,0.418,ACORN-L,Adversity
MAC003640,Std,12/2/13 20:00,0.458,ACORN-L,Adversity
MAC003640,Std,12/2/13 20:30,0.509,ACORN-L,Adversity
MAC003640,Std,12/2/13 21:00,0.416,ACORN-L,Adversity
MAC003640,Std,12/2/13 21:30,0.409,ACORN-L,Adversity
MAC003640,Std,12/2/13 22:00,0.514,ACORN-L,Adversity
MAC003640,Std,12/2/13 22:30,0.527,ACORN-L,Adversity
MAC003640,Std,12/2/13 23:00,0.525,ACORN-L,Adversity
MAC003640,Std,12/2/13 23:30,1.049,ACORN-L,Adversity
MAC003640,Std,12/3/13 0:00,0.927,ACORN-L,Adversity
MAC003640,Std,12/3/13 0:30,0.136,ACORN-L,Adversity
MAC003640,Std,12/3/13 1:00,0.137,ACORN-L,Adversity
MAC003640,Std,12/3/13 1:30,0.12,ACORN-L,Adversity
MAC003640,Std,12/3/13 2:00,0.122,ACORN-L,Adversity
MAC003640,Std,12/3/13 2:30,0.129,ACORN-L,Adversity
MAC003640,Std,12/3/13 3:00,0.126,ACORN-L,Adversity
MAC003640,Std,12/3/13 3:30,0.124,ACORN-L,Adversity
MAC003640,Std,12/3/13 4:00,0.097,ACORN-L,Adversity
MAC003640,Std,12/3/13 4:30,0.115,ACORN-L,Adversity
MAC003640,Std,12/3/13 5:00,0.113,ACORN-L,Adversity
MAC003640,Std,12/3/13 5:30,0.112,ACORN-L,Adversity
MAC003640,Std,12/3/13 6:00,0.119,ACORN-L,Adversity
MAC003640,Std,12/3/13 6:30,0.2,ACORN-L,Adversity
