,ZipCode,MedianIncome,Population,OpenSpace
142,11234.0,67713,95610,0.853231831056
143,11235.0,42257,75622,1.27711455602
144,11236.0,60135,97714,0.203631588462
145,11237.0,42496,55258,0.013832597664
146,11238.0,69491,51959,0.115214659385
147,11239.0,27886,12943,0.52754927532
148,11354.0,46650,56433,0.047822117425
149,11355.0,40539,83799,0.452813077167
150,11356.0,59084,23800,0.0699176580428
151,11357.0,73189,40588,0.0282634841945
152,11358.0,67277,37634,0.036427543656
153,11359.0,-,0,0.0
154,11360.0,79513,19916,0.15358851565
155,11361.0,77219,30352,0.100131812439
156,11362.0,82058,17897,0.496730526564
157,11363.0,92711,7625,0.249589630325
158,11364.0,72344,34902,0.366169506853
159,11365.0,58990,43138,0.212624399415
160,11366.0,71692,13146,0.0152269856666
161,11367.0,54218,41582,0.509259370995
162,11368.0,45014,110385,0.415446418641
163,11369.0,54181,39862,0.0486109122703
164,11370.0,54196,36271,0.0139321587983
165,11371.0,-,0,0.0
166,11372.0,46402,63202,0.00629222902335
167,11373.0,49042,100713,0.0202561441573
168,11374.0,50606,41792,0.0154248852895
169,11375.0,71643,69652,0.417708611691
170,11377.0,49641,88939,0.170596014241
171,11378.0,56278,30854,0.073414449871
172,11379.0,71393,35725,0.351804667655
173,11385.0,53558,100132,0.787014250886
174,11411.0,81117,19177,0.0056078923887
175,11412.0,70709,37690,0.00211392194609
176,11413.0,80237,41689,0.27934904788
177,11414.0,69088,28742,0.188047599073
178,11415.0,64696,19020,0.121667360602
179,11416.0,58621,25973,0.00785156082176
180,11417.0,61617,31556,0.305944832624
181,11418.0,61472,36751,9.46756473005e-05
182,11419.0,55557,48370,0.00756907426812
183,11420.0,57784,50162,0.131074783055
184,11421.0,61974,42745,0.306282540735
185,11422.0,83631,32589,0.145688976254
186,11423.0,60161,32053,0.110137497826
187,11426.0,77917,19348,0.0351657813906
188,11427.0,69847,23460,0.120481768485
189,11428.0,68077,20461,0.0
190,11429.0,71208,27506,0.00284620102637
191,11430.0,-,171,0.0829331054433
192,11432.0,49631,62395,0.0157034242403
193,11433.0,44799,37927,0.022959510417
194,11434.0,58178,65255,0.0994273450996
195,11435.0,52939,54523,0.00977675357246
196,11436.0,61544,18609,0.0173148986365
197,11691.0,39986,62577,0.43075160424
198,11692.0,40298,17970,0.547327425685
199,11693.0,51116,11338,10.6201642865
200,11694.0,75615,21507,0.686309321528
201,11697.0,82230,4078,0.62888895373
