GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
1400000US36081011600,36081011600,"Census Tract 116, Queens County, New York",57780,2668
1400000US36081011700,36081011700,"Census Tract 117, Queens County, New York",61692,12046
1400000US36081011800,36081011800,"Census Tract 118, Queens County, New York",52938,7579
1400000US36081011900,36081011900,"Census Tract 119, Queens County, New York",56492,10361
1400000US36081012000,36081012000,"Census Tract 120, Queens County, New York",53750,18679
1400000US36081012100,36081012100,"Census Tract 121, Queens County, New York",57566,8145
1400000US36081012200,36081012200,"Census Tract 122, Queens County, New York",58472,7370
1400000US36081012301,36081012301,"Census Tract 123.01, Queens County, New York",65260,7102
1400000US36081012400,36081012400,"Census Tract 124, Queens County, New York",58209,4999
1400000US36081012500,36081012500,"Census Tract 125, Queens County, New York",57784,9152
1400000US36081012601,36081012601,"Census Tract 126.01, Queens County, New York",59397,14982
1400000US36081012602,36081012602,"Census Tract 126.02, Queens County, New York",57634,6670
1400000US36081012800,36081012800,"Census Tract 128, Queens County, New York",65319,7989
1400000US36081013000,36081013000,"Census Tract 130, Queens County, New York",63650,21713
1400000US36081013200,36081013200,"Census Tract 132, Queens County, New York",62083,24248
1400000US36081013400,36081013400,"Census Tract 134, Queens County, New York",63288,3859
1400000US36081013500,36081013500,"Census Tract 135, Queens County, New York",55956,18126
1400000US36081013600,36081013600,"Census Tract 136, Queens County, New York",58833,24936
1400000US36081013700,36081013700,"Census Tract 137, Queens County, New York",65463,17796
1400000US36081013800,36081013800,"Census Tract 138, Queens County, New York",62000,16138
1400000US36081014000,36081014000,"Census Tract 140, Queens County, New York",68611,6337
1400000US36081014100,36081014100,"Census Tract 141, Queens County, New York",64907,9494
1400000US36081014201,36081014201,"Census Tract 142.01, Queens County, New York",58438,9485
1400000US36081014202,36081014202,"Census Tract 142.02, Queens County, New York",63472,19195
1400000US36081014300,36081014300,"Census Tract 143, Queens County, New York",57281,7347
1400000US36081014400,36081014400,"Census Tract 144, Queens County, New York",46281,14960
1400000US36081014500,36081014500,"Census Tract 145, Queens County, New York",58095,14197
1400000US36081014700,36081014700,"Census Tract 147, Queens County, New York",52244,9881
1400000US36081014800,36081014800,"Census Tract 148, Queens County, New York",61205,8968
1400000US36081014900,36081014900,"Census Tract 149, Queens County, New York",74750,10783
1400000US36081015000,36081015000,"Census Tract 150, Queens County, New York",70450,9241
1400000US36081015100,36081015100,"Census Tract 151, Queens County, New York",61487,6811
1400000US36081015200,36081015200,"Census Tract 152, Queens County, New York",59512,9437
1400000US36081015300,36081015300,"Census Tract 153, Queens County, New York",51319,9895
1400000US36081015400,36081015400,"Census Tract 154, Queens County, New York",62500,18828
1400000US36081015500,36081015500,"Census Tract 155, Queens County, New York",69625,20339
